,ב.ה.יום.ה.הוא,ה.יום,מ׳.ימים
wayq,65.0,12.0,19.0
impf,56.0,25.0,40.0
perf,44.0,58.0,10.0
weqt,31.0,4.0,16.0
infc,1.0,8.0,1.0
impv,0.0,6.0,4.0
infa,0.0,0.0,0.0
