,ב.ה.יום.ה.הוא,ה.יום,מ׳.ימים
היה.v1.qal,51.0,11.0,5.0
נתן.v1.qal,8.0,6.0,0.0
בוא.v1.qal,7.0,4.0,0.0
אמר.v1.qal,6.0,0.0,0.0
ידע.v1.qal,4.0,7.0,0.0
יצא.v1.qal,4.0,0.0,1.0
ישׁע.v1.hif,3.0,0.0,0.0
עשׂה.v1.qal,3.0,6.0,15.0
עלה.v1.qal,3.0,0.0,0.0
כרת.v1.qal,3.0,0.0,0.0
