Source,Target,Weight
0,1,0.08
0,2,0.03
0,4,0.03
0,6,0.03
0,7,0.05
0,9,0.01
1,0,0.12
1,4,0.02
1,7,0.31
1,9,0.01
2,0,0.02
2,3,0.04
2,7,0.45
3,2,0.35
3,7,0.06
4,0,0.2
4,1,0.12
5,2,0.52
6,0,0.03
6,7,0.44
6,9,0.03
7,0,0.02
7,1,0.08
7,2,0.23
7,6,0.18
7,8,0.2
7,9,0.01
8,7,0.63
9,0,0.04
9,1,0.01
9,6,0.09
9,7,0.06
