Source,Target,Weight
0,1,0.26
0,2,0.11
0,4,0.03
0,6,0.31
1,0,0.54
1,7,0.01
1,9,0.01
2,0,0.23
2,3,0.14
2,4,0.01
2,5,0.02
2,7,0.01
2,9,0.08
3,2,0.62
3,7,0.01
4,0,0.29
4,2,0.02
5,2,0.67
5,7,0.02
6,0,0.53
6,9,0.05
7,1,0.06
7,2,0.11
7,3,0.01
7,8,0.14
8,7,0.99
9,1,0.01
9,2,0.11
9,6,0.09
