Source,Target,Weight
0,1,0.15
0,2,0.01
0,4,0.04
0,6,0.12
0,9,0.02
1,0,0.14
1,7,0.41
2,0,0.01
2,3,0.1
2,7,0.31
2,9,0.02
3,2,0.33
3,7,0.04
3,9,0.04
4,0,0.42
4,6,0.06
5,2,0.31
5,4,0.02
5,7,0.07
6,0,0.22
6,4,0.01
6,7,0.22
6,9,0.03
7,1,0.27
7,2,0.12
7,6,0.08
7,8,0.1
8,7,0.69
9,0,0.08
9,2,0.05
9,3,0.02
9,6,0.05
