,ב.ה.יום.ה.הוא,ה.יום,C.ימים
perf,75.0,62.0,26.0
wayq,65.0,12.0,19.0
impf,56.0,25.0,40.0
infc,1.0,8.0,1.0
impv,0.0,6.0,4.0
infa,0.0,0.0,0.0
