token,(n)heads_token,freq,mark,note,ex_ref,ex,ex_node,ex_verse
אז,אז,68,g,,2_Samuel 23:14,אָ֣ז ,752830,וְדָוִ֖ד אָ֣ז בַּמְּצוּדָ֑ה וּמַצַּ֣ב פְּלִשְׁתִּ֔ים אָ֖ז בֵּ֥ית לָֽחֶם׃ 
אחר,אחר,34,g,,Proverbs 24:27,אַ֝חַ֗ר ,866028,הָ֘כֵ֤ן בַּח֨וּץ׀ מְלַאכְתֶּ֗ךָ וְעַתְּדָ֣הּ בַּשָּׂדֶ֣ה לָ֑ךְ אַ֝חַ֗ר וּבָנִ֥יתָ בֵיתֶֽךָ׃ פ 
אחר.גזי.ה.מלך,אחר,1,g,,Amos 7:1,אַחַ֖ר גִּזֵּ֥י הַמֶּֽלֶךְ׃ ,826788,כֹּ֤ה הִרְאַ֨נִי֙ אֲדֹנָ֣י יְהוִ֔ה וְהִנֵּה֙ יֹוצֵ֣ר גֹּבַ֔י בִּתְחִלַּ֖ת עֲלֹ֣ות הַלָּ֑קֶשׁ וְהִ֨נֵּה־לֶ֔קֶשׁ אַחַ֖ר גִּזֵּ֥י הַמֶּֽלֶךְ׃ 
אחר.דברי,אחר,1,g,,Job 21:3,אַחַ֖ר דַּבְּרִ֣י ,857009,שָׂ֭אוּנִי וְאָנֹכִ֣י אֲדַבֵּ֑ר וְאַחַ֖ר דַּבְּרִ֣י תַלְעִֽיג׃ 
אחר.ה.דבר.ה.זה,אחר,1,g,,1_Kings 13:33,אַחַר֙ הַדָּבָ֣ר הַזֶּ֔ה ,759623,אַחַר֙ הַדָּבָ֣ר הַזֶּ֔ה לֹֽא־שָׁ֥ב יָרָבְעָ֖ם מִדַּרְכֹּ֣ו הָרָעָ֑ה וַ֠יָּשָׁב וַיַּ֜עַשׂ מִקְצֹ֤ות הָעָם֙ כֹּהֲנֵ֣י בָמֹ֔ות הֶֽחָפֵץ֙ יְמַלֵּ֣א אֶת־יָדֹ֔ו וִיהִ֖י כֹּהֲנֵ֥י בָמֹֽות׃ 
אחר.ה.דברים.ה.אלה,אחר,8,g,,Genesis 22:1,אַחַר֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה ,657503,וַיְהִ֗י אַחַר֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה וְהָ֣אֱלֹהִ֔ים נִסָּ֖ה אֶת־אַבְרָהָ֑ם וַיֹּ֣אמֶר אֵלָ֔יו אַבְרָהָ֖ם וַיֹּ֥אמֶר הִנֵּֽנִי׃ 
אחר.ה.יבל,אחר,1,g,,Leviticus 27:18,אַחַ֣ר הַיֹּבֵל֮ ,692187,וְאִם־אַחַ֣ר הַיֹּבֵל֮ יַקְדִּ֣ישׁ שָׂדֵהוּ֒ וְחִשַּׁב־לֹ֨ו הַכֹּהֵ֜ן אֶת־הַכֶּ֗סֶף עַל־פִּ֤י הַשָּׁנִים֙ הַנֹּ֣ותָרֹ֔ת עַ֖ד שְׁנַ֣ת הַיֹּבֵ֑ל וְנִגְרַ֖ע מֵֽעֶרְכֶּֽךָ׃ 
אחר.ה.מבול,אחר,3,g,,Genesis 10:32,אַחַ֥ר הַמַּבּֽוּל׃ פ ,654202,אֵ֣לֶּה מִשְׁפְּחֹ֧ת בְּנֵי־נֹ֛חַ לְתֹולְדֹתָ֖ם בְּגֹויֵהֶ֑ם וּמֵאֵ֜לֶּה נִפְרְד֧וּ הַגֹּויִ֛ם בָּאָ֖רֶץ אַחַ֥ר הַמַּבּֽוּל׃ פ 
אחר.זה,אחר,1,g,,2_Chronicles 32:9,אַ֣חַר זֶ֗ה ,903093,אַ֣חַר זֶ֗ה שָׁ֠לַח סַנְחֵרִ֨יב מֶֽלֶךְ־אַשּׁ֤וּר עֲבָדָיו֙ יְר֣וּשָׁלַ֔יְמָה וְהוּא֙ עַל־לָכִ֔ישׁ וְכָל־מֶמְשַׁלְתֹּ֖ו עִמֹּ֑ו עַל־יְחִזְקִיָּ֨הוּ֙ מֶ֣לֶךְ יְהוּדָ֔ה וְעַל־כָּל־יְהוּדָ֛ה אֲשֶׁ֥ר בִּירוּשָׁלִַ֖ם לֵאמֹֽר׃ 
אחר.כן,אחר,2,g,,1_Samuel 10:5,אַ֣חַר כֵּ֗ן ,734686,אַ֣חַר כֵּ֗ן תָּבֹוא֙ גִּבְעַ֣ת הָאֱלֹהִ֔ים אֲשֶׁר־שָׁ֖ם נְצִבֵ֣י פְלִשְׁתִּ֑ים וִיהִי֩ כְבֹאֲךָ֨ שָׁ֜ם הָעִ֗יר וּפָגַעְתָּ֞ חֶ֤בֶל נְבִיאִים֙ יֹרְדִ֣ים מֵֽהַבָּמָ֔ה וְלִפְנֵיהֶ֞ם נֵ֤בֶל וְתֹף֙ וְחָלִ֣יל וְכִנֹּ֔ור וְהֵ֖מָּה מִֽתְנַבְּאִֽים׃ 
אחר.מות.חצרון.ב.כלב.אפרתה,אחר,1,g,,1_Chronicles 2:24,אַחַ֥ר מֹות־חֶצְרֹ֖ון בְּכָלֵ֣ב אֶפְרָ֑תָה ,887795,וְאַחַ֥ר מֹות־חֶצְרֹ֖ון בְּכָלֵ֣ב אֶפְרָ֑תָה וְאֵ֤שֶׁת חֶצְרֹון֙ אֲבִיָּ֔ה וַתֵּ֣לֶד לֹ֔ו אֶת־אַשְׁח֖וּר אֲבִ֥י תְקֹֽועַ׃ 
אחר.שׁלוחיה,אחר,1,g,,Exodus 18:2,אַחַ֖ר שִׁלּוּחֶֽיהָ׃ ,675413,וַיִּקַּ֗ח יִתְרֹו֙ חֹתֵ֣ן מֹשֶׁ֔ה אֶת־צִפֹּרָ֖ה אֵ֣שֶׁת מֹשֶׁ֑ה אַחַ֖ר שִׁלּוּחֶֽיהָ׃ 
אחרון,אחרון,1,g,,Job 19:25,אַחֲרֹ֗ון ,856755,וַאֲנִ֣י יָ֭דַעְתִּי גֹּ֣אֲלִי חָ֑י וְ֝אַחֲרֹ֗ון עַל־עָפָ֥ר יָקֽוּם׃ 
אחרי,אחרי,4,?,One case in Job with 1cs suffix אחרי that looks debatable,Nehemiah 3:31,אַחֲרָ֣יו ,884421,אַחֲרָ֣יו הֶחֱזִ֗יק מַלְכִּיָּה֙ בֶּן־הַצֹּ֣רְפִ֔י עַד־בֵּ֥ית הַנְּתִינִ֖ים וְהָרֹכְלִ֑ים נֶ֚גֶד שַׁ֣עַר הַמִּפְקָ֔ד וְעַ֖ד עֲלִיַּ֥ת הַפִּנָּֽה׃ 
