,cl_node,ref,target_ph,xphrase_function,verse_text,cl_text
1073,449985,Joshua 11:23,הָאָ֥רֶץ ,Subj,וַיִּקַּ֨ח יְהֹושֻׁ֜עַ אֶת־כָּל־הָאָ֗רֶץ כְּ֠כֹל אֲשֶׁ֨ר דִּבֶּ֣ר יְהוָה֮ אֶל־מֹשֶׁה֒ וַיִּתְּנָהּ֩ יְהֹושֻׁ֨עַ לְנַחֲלָ֧ה לְיִשְׂרָאֵ֛ל כְּמַחְלְקֹתָ֖ם לְשִׁבְטֵיהֶ֑ם וְהָאָ֥רֶץ שָׁקְטָ֖ה מִמִּלְחָמָֽה׃ פ ,וְהָאָ֥רֶץ שָׁקְטָ֖ה מִמִּלְחָמָֽה׃ פ 
175,433405,Genesis 49:26,בִּרְכֹ֣ת אָבִ֗יךָ ,Subj,בִּרְכֹ֣ת אָבִ֗יךָ גָּֽבְרוּ֙ עַל־בִּרְכֹ֣ת הֹורַ֔י עַֽד־תַּאֲוַ֖ת גִּבְעֹ֣ת עֹולָ֑ם תִּֽהְיֶ֨ין֙ לְרֹ֣אשׁ יֹוסֵ֔ף וּלְקָדְקֹ֖ד נְזִ֥יר אֶחָֽיו׃ פ ,בִּרְכֹ֣ת אָבִ֗יךָ גָּֽבְרוּ֙ עַל־בִּרְכֹ֣ת הֹורַ֔י עַֽד־תַּאֲוַ֖ת גִּבְעֹ֣ת עֹולָ֑ם 
4161,501979,Proverbs 21:28,אִ֥ישׁ שֹׁ֝ומֵ֗עַ ,Subj,עֵד־כְּזָבִ֥ים יֹאבֵ֑ד וְאִ֥ישׁ שֹׁ֝ומֵ֗עַ לָנֶ֥צַח יְדַבֵּֽר׃ ,וְאִ֥ישׁ שֹׁ֝ומֵ֗עַ לָנֶ֥צַח יְדַבֵּֽר׃ 
39,428180,Genesis 7:20,חֲמֵ֨שׁ עֶשְׂרֵ֤ה אַמָּה֙ מִלְמַ֔עְלָה ,Adju,חֲמֵ֨שׁ עֶשְׂרֵ֤ה אַמָּה֙ מִלְמַ֔עְלָה גָּבְר֖וּ הַמָּ֑יִם וַיְכֻסּ֖וּ הֶהָרִֽים׃ ,חֲמֵ֨שׁ עֶשְׂרֵ֤ה אַמָּה֙ מִלְמַ֔עְלָה גָּבְר֖וּ הַמָּ֑יִם 
1436,462638,1_Kings 10:16,שֵׁשׁ־מֵאֹ֣ות זָהָ֔ב ,Subj,וַיַּ֨עַשׂ הַמֶּ֧לֶךְ שְׁלֹמֹ֛ה מָאתַ֥יִם צִנָּ֖ה זָהָ֣ב שָׁח֑וּט שֵׁשׁ־מֵאֹ֣ות זָהָ֔ב יַעֲלֶ֖ה עַל־הַצִּנָּ֥ה הָאֶחָֽת׃ ,שֵׁשׁ־מֵאֹ֣ות זָהָ֔ב יַעֲלֶ֖ה עַל־הַצִּנָּ֥ה הָאֶחָֽת׃ 
4383,505860,Esther 8:15,הָעִ֣יר שׁוּשָׁ֔ן ,Subj,וּמָרְדֳּכַ֞י יָצָ֣א׀ מִלִּפְנֵ֣י הַמֶּ֗לֶךְ בִּלְב֤וּשׁ מַלְכוּת֙ תְּכֵ֣לֶת וָח֔וּר וַעֲטֶ֤רֶת זָהָב֙ גְּדֹולָ֔ה וְתַכְרִ֥יךְ בּ֖וּץ וְאַרְגָּמָ֑ן וְהָעִ֣יר שׁוּשָׁ֔ן צָהֲלָ֖ה וְשָׂמֵֽחָה׃ ,וְהָעִ֣יר שׁוּשָׁ֔ן צָהֲלָ֖ה 
97,429970,Genesis 25:3,בְנֵ֣י דְדָ֔ן ,Subj,וְיָקְשָׁ֣ן יָלַ֔ד אֶת־שְׁבָ֖א וְאֶת־דְּדָ֑ן וּבְנֵ֣י דְדָ֔ן הָי֛וּ אַשּׁוּרִ֥ם וּלְטוּשִׁ֖ים וּלְאֻמִּֽים׃ ,וּבְנֵ֣י דְדָ֔ן הָי֛וּ אַשּׁוּרִ֥ם וּלְטוּשִׁ֖ים וּלְאֻמִּֽים׃ 
2803,486056,Hosea 9:11,כָּעֹ֖וף ,Adju,אֶפְרַ֕יִם כָּעֹ֖וף יִתְעֹופֵ֣ף כְּבֹודָ֑ם מִלֵּדָ֥ה וּמִבֶּ֖טֶן וּמֵהֵרָיֹֽון׃ ,כָּעֹ֖וף יִתְעֹופֵ֣ף כְּבֹודָ֑ם 
2913,487731,Micah 2:9,מֵעַל֙ עֹֽלָלֶ֔יהָ ,Cmpl,נְשֵׁ֤י עַמִּי֙ תְּגָ֣רְשׁ֔וּן מִבֵּ֖ית תַּֽעֲנֻגֶ֑יהָ מֵעַל֙ עֹֽלָלֶ֔יהָ תִּקְח֥וּ הֲדָרִ֖י לְעֹולָֽם׃ ,מֵעַל֙ עֹֽלָלֶ֔יהָ תִּקְח֥וּ הֲדָרִ֖י לְעֹולָֽם׃ 
3893,500010,Job 37:6,לַשֶּׁ֨לַג׀ ,Cmpl,כִּ֤י לַשֶּׁ֨לַג׀ יֹאמַ֗ר הֱוֵ֫א אָ֥רֶץ וְגֶ֥שֶׁם מָטָ֑ר וְ֝גֶ֗שֶׁם מִטְרֹ֥ות עֻזֹּֽו׃ ,כִּ֤י לַשֶּׁ֨לַג׀ יֹאמַ֗ר 
4190,502248,Proverbs 24:31,גֶ֖דֶר אֲבָנָ֣יו ,Subj,וְהִנֵּ֨ה עָ֘לָ֤ה כֻלֹּ֨ו׀ קִמְּשֹׂנִ֗ים כָּסּ֣וּ פָנָ֣יו חֲרֻלִּ֑ים וְגֶ֖דֶר אֲבָנָ֣יו נֶהֱרָֽסָה׃ ,וְגֶ֖דֶר אֲבָנָ֣יו נֶהֱרָֽסָה׃ 
612,440389,Leviticus 23:42,כָּל־הָֽאֶזְרָח֙ בְּיִשְׂרָאֵ֔ל ,Subj,בַּסֻּכֹּ֥ת תֵּשְׁב֖וּ שִׁבְעַ֣ת יָמִ֑ים כָּל־הָֽאֶזְרָח֙ בְּיִשְׂרָאֵ֔ל יֵשְׁב֖וּ בַּסֻּכֹּֽת׃ ,כָּל־הָֽאֶזְרָח֙ בְּיִשְׂרָאֵ֔ל יֵשְׁב֖וּ בַּסֻּכֹּֽת׃ 
2692,484060,Ezekiel 36:10,הֶחֳרָבֹ֖ות ,Subj,וְהִרְבֵּיתִ֤י עֲלֵיכֶם֙ אָדָ֔ם כָּל־בֵּ֥ית יִשְׂרָאֵ֖ל כֻּלֹּ֑ה וְנֹֽשְׁבוּ֙ הֶֽעָרִ֔ים וְהֶחֳרָבֹ֖ות תִּבָּנֶֽינָה׃ ,וְהֶחֳרָבֹ֖ות תִּבָּנֶֽינָה׃ 
3133,491134,Psalms 22:19,עַל־לְ֝בוּשִׁ֗י ,Cmpl,יְחַלְּק֣וּ בְגָדַ֣י לָהֶ֑ם וְעַל־לְ֝בוּשִׁ֗י יַפִּ֥ילוּ גֹורָֽל׃ ,וְעַל־לְ֝בוּשִׁ֗י יַפִּ֥ילוּ גֹורָֽל׃ 
1027,449010,Joshua 3:16,הָעָ֥ם ,Subj,וַיַּעַמְד֡וּ הַמַּיִם֩ הַיֹּרְדִ֨ים מִלְמַ֜עְלָה קָ֣מוּ נֵד־אֶחָ֗ד הַרְחֵ֨ק מְאֹ֜ד מֵֽאָדָ֤ם הָעִיר֙ אֲשֶׁר֙ מִצַּ֣ד צָֽרְתָ֔ן וְהַיֹּרְדִ֗ים עַ֣ל יָ֧ם הָעֲרָבָ֛ה יָם־הַמֶּ֖לַח תַּ֣מּוּ נִכְרָ֑תוּ וְהָעָ֥ם עָבְר֖וּ נֶ֥גֶד יְרִיחֹֽו׃ ,וְהָעָ֥ם עָבְר֖וּ נֶ֥גֶד יְרִיחֹֽו׃ 
1370,460813,2_Samuel 22:28,אֶת־עַ֥ם עָנִ֖י ,Objc,וְאֶת־עַ֥ם עָנִ֖י תֹּושִׁ֑יעַ וְעֵינֶ֖יךָ עַל־רָמִ֥ים תַּשְׁפִּֽיל׃ ,וְאֶת־עַ֥ם עָנִ֖י תֹּושִׁ֑יעַ 
1608,468059,2_Kings 25:7,אֶת־עֵינֵ֤י צִדְקִיָּ֨הוּ֙ ,Objc,וְאֶת־בְּנֵי֙ צִדְקִיָּ֔הוּ שָׁחֲט֖וּ לְעֵינָ֑יו וְאֶת־עֵינֵ֤י צִדְקִיָּ֨הוּ֙ עִוֵּ֔ר וַיַּאַסְרֵ֨הוּ֙ בַֽנְחֻשְׁתַּ֔יִם וַיְבִאֵ֖הוּ בָּבֶֽל׃ ס ,וְאֶת־עֵינֵ֤י צִדְקִיָּ֨הוּ֙ עִוֵּ֔ר 
2815,486196,Hosea 11:10,כְּאַרְיֵ֣ה ,Adju,אַחֲרֵ֧י יְהוָ֛ה יֵלְכ֖וּ כְּאַרְיֵ֣ה יִשְׁאָ֑ג כִּֽי־ה֣וּא יִשְׁאַ֔ג וְיֶחֶרְד֥וּ בָנִ֖ים מִיָּֽם׃ ,כְּאַרְיֵ֣ה יִשְׁאָ֑ג 
2335,479166,Jeremiah 48:34,מִזַּעֲקַ֨ת חֶשְׁבֹּ֜ון ,Adju,מִזַּעֲקַ֨ת חֶשְׁבֹּ֜ון עַד־אֶלְעָלֵ֗ה עַד־יַ֨הַץ֙ נָתְנ֣וּ קֹולָ֔ם מִצֹּ֨עַר֙ עַד־חֹ֣רֹנַ֔יִם עֶגְלַ֖ת שְׁלִֽשִׁיָּ֑ה כִּ֚י גַּם־מֵ֣י נִמְרִ֔ים לִמְשַׁמֹּ֖ות יִהְיֽוּ׃ ,מִזַּעֲקַ֨ת חֶשְׁבֹּ֜ון עַד־אֶלְעָלֵ֗ה עַד־יַ֨הַץ֙ נָתְנ֣וּ קֹולָ֔ם 
1845,470748,Isaiah 34:12,כָל־שָׂרֶ֖יהָ ,Subj,חֹרֶ֥יהָ וְאֵֽין־שָׁ֖ם מְלוּכָ֣ה יִקְרָ֑אוּ וְכָל־שָׂרֶ֖יהָ יִ֥הְיוּ אָֽפֶס׃ ,וְכָל־שָׂרֶ֖יהָ יִ֥הְיוּ אָֽפֶס׃ 
427,438089,Leviticus 4:19,אֵ֥ת כָּל־חֶלְבֹּ֖ו ,Objc,וְאֵ֥ת כָּל־חֶלְבֹּ֖ו יָרִ֣ים מִמֶּ֑נּוּ וְהִקְטִ֖יר הַמִּזְבֵּֽחָה׃ ,וְאֵ֥ת כָּל־חֶלְבֹּ֖ו יָרִ֣ים מִמֶּ֑נּוּ 
1485,464051,1_Kings 19:14,אֶת־מִזְבְּחֹתֶ֣יךָ ,Objc,וַיֹּאמֶר֩ קַנֹּ֨א קִנֵּ֜אתִי לַיהוָ֣ה׀ אֱלֹהֵ֣י צְבָאֹ֗ות כִּֽי־עָזְב֤וּ בְרִֽיתְךָ֙ בְּנֵ֣י יִשְׂרָאֵ֔ל אֶת־מִזְבְּחֹתֶ֣יךָ הָרָ֔סוּ וְאֶת־נְבִיאֶ֖יךָ הָרְג֣וּ בֶחָ֑רֶב וָאִוָּתֵ֤ר אֲנִי֙ לְבַדִּ֔י וַיְבַקְשׁ֥וּ אֶת־נַפְשִׁ֖י לְקַחְתָּֽהּ׃ ס ,אֶת־מִזְבְּחֹתֶ֣יךָ הָרָ֔סוּ 
1534,465949,2_Kings 8:9,בִּנְךָ֙ בֶן־הֲדַ֤ד מֶֽלֶךְ־אֲרָם֙ ,Subj,וַיֵּ֣לֶךְ חֲזָאֵל֮ לִקְרָאתֹו֒ וַיִּקַּ֨ח מִנְחָ֤ה בְיָדֹו֙ וְכָל־ט֣וּב דַּמֶּ֔שֶׂק מַשָּׂ֖א אַרְבָּעִ֣ים גָּמָ֑ל וַיָּבֹא֙ וַיַּעֲמֹ֣ד לְפָנָ֔יו וַיֹּ֗אמֶר בִּנְךָ֙ בֶן־הֲדַ֤ד מֶֽלֶךְ־אֲרָם֙ שְׁלָחַ֤נִי אֵלֶ֨יךָ֙ לֵאמֹ֔ר הַאֶחְיֶ֖ה מֵחֳלִ֥י זֶֽה׃ ,בִּנְךָ֙ בֶן־הֲדַ֤ד מֶֽלֶךְ־אֲרָם֙ שְׁלָחַ֤נִי אֵלֶ֨יךָ֙ 
2556,482476,Ezekiel 22:18,סִגִ֥ים כֶּ֖סֶף ,Objc,בֶּן־אָדָ֕ם הָיוּ־לִ֥י בֵֽית־יִשְׂרָאֵ֖ל לְסִ֑יג כֻּלָּ֡ם נְ֠חֹשֶׁת וּבְדִ֨יל וּבַרְזֶ֤ל וְעֹופֶ֨רֶת֙ בְּתֹ֣וךְ כּ֔וּר סִגִ֥ים כֶּ֖סֶף הָיֽוּ׃ ס ,סִגִ֥ים כֶּ֖סֶף הָיֽוּ׃ ס 
2511,481861,Ezekiel 18:17,מֵעָנִ֞י ,Cmpl,מֵעָנִ֞י הֵשִׁ֣יב יָדֹ֗ו נֶ֤שֶׁךְ וְתַרְבִּית֙ לֹ֣א לָקָ֔ח מִשְׁפָּטַ֣י עָשָׂ֔ה בְּחֻקֹּותַ֖י הָלָ֑ךְ ה֗וּא לֹ֥א יָמ֛וּת בַּעֲוֹ֥ן אָבִ֖יו חָיֹ֥ה יִחְיֶֽה׃ ,מֵעָנִ֞י הֵשִׁ֣יב יָדֹ֗ו 
71,428916,Genesis 17:17,לְּבֶ֤ן מֵאָֽה־שָׁנָה֙ ,Cmpl,וַיִּפֹּ֧ל אַבְרָהָ֛ם עַל־פָּנָ֖יו וַיִּצְחָ֑ק וַיֹּ֣אמֶר בְּלִבֹּ֗ו הַלְּבֶ֤ן מֵאָֽה־שָׁנָה֙ יִוָּלֵ֔ד וְאִ֨ם־שָׂרָ֔ה הֲבַת־תִּשְׁעִ֥ים שָׁנָ֖ה תֵּלֵֽד׃ ,הַלְּבֶ֤ן מֵאָֽה־שָׁנָה֙ יִוָּלֵ֔ד 
1087,450558,Joshua 19:40,לְמַטֵּ֥ה בְנֵי־דָ֖ן לְמִשְׁפְּחֹתָ֑ם ,Cmpl,לְמַטֵּ֥ה בְנֵי־דָ֖ן לְמִשְׁפְּחֹתָ֑ם יָצָ֖א הַגֹּורָ֥ל הַשְּׁבִיעִֽי׃ ,לְמַטֵּ֥ה בְנֵי־דָ֖ן לְמִשְׁפְּחֹתָ֑ם יָצָ֖א הַגֹּורָ֥ל הַשְּׁבִיעִֽי׃ 
4110,501592,Proverbs 16:21,לַחֲכַם־לֵ֭ב ,Cmpl,לַחֲכַם־לֵ֭ב יִקָּרֵ֣א נָבֹ֑ון וּמֶ֥תֶק שְׂ֝פָתַ֗יִם יֹסִ֥יף לֶֽקַח׃ ,לַחֲכַם־לֵ֭ב יִקָּרֵ֣א נָבֹ֑ון 
3524,496385,Psalms 119:101,מִכָּל־אֹ֣רַח רָ֭ע ,Cmpl,מִכָּל־אֹ֣רַח רָ֭ע כָּלִ֣אתִי רַגְלָ֑י לְ֝מַ֗עַן אֶשְׁמֹ֥ר דְּבָרֶֽךָ׃ ,מִכָּל־אֹ֣רַח רָ֭ע כָּלִ֣אתִי רַגְלָ֑י 
3729,498808,Job 19:22,מִבְּשָׂרִ֗י ,Cmpl,לָ֭מָּה תִּרְדְּפֻ֣נִי כְמֹו־אֵ֑ל וּ֝מִבְּשָׂרִ֗י לֹ֣א תִשְׂבָּֽעוּ׃ ,וּ֝מִבְּשָׂרִ֗י לֹ֣א תִשְׂבָּֽעוּ׃ 
1742,469628,Isaiah 21:9,כָל־פְּסִילֵ֥י אֱלֹהֶ֖יהָ ,Objc,וְהִנֵּה־זֶ֥ה בָא֙ רֶ֣כֶב אִ֔ישׁ צֶ֖מֶד פָּֽרָשִׁ֑ים וַיַּ֣עַן וַיֹּ֗אמֶר נָפְלָ֤ה נָֽפְלָה֙ בָּבֶ֔ל וְכָל־פְּסִילֵ֥י אֱלֹהֶ֖יהָ שִׁבַּ֥ר לָאָֽרֶץ׃ ,וְכָל־פְּסִילֵ֥י אֱלֹהֶ֖יהָ שִׁבַּ֥ר לָאָֽרֶץ׃ 
1686,469051,Isaiah 11:13,צֹרְרֵ֥י יְהוּדָ֖ה ,Subj,וְסָ֨רָה֙ קִנְאַ֣ת אֶפְרַ֔יִם וְצֹרְרֵ֥י יְהוּדָ֖ה יִכָּרֵ֑תוּ אֶפְרַ֨יִם֙ לֹֽא־יְקַנֵּ֣א אֶת־יְהוּדָ֔ה וִֽיהוּדָ֖ה לֹֽא־יָצֹ֥ר אֶת־אֶפְרָֽיִם׃ ,וְצֹרְרֵ֥י יְהוּדָ֖ה יִכָּרֵ֑תוּ 
1234,455467,1_Samuel 14:21,הָעִבְרִ֗ים ,Subj,וְהָעִבְרִ֗ים הָי֤וּ לַפְּלִשְׁתִּים֙ כְּאֶתְמֹ֣ול שִׁלְשֹׁ֔ום אֲשֶׁ֨ר עָל֥וּ עִמָּ֛ם בַּֽמַּחֲנֶ֖ה סָבִ֑יב וְגַם־הֵ֗מָּה לִֽהְיֹות֙ עִם־יִשְׂרָאֵ֔ל אֲשֶׁ֥ר עִם־שָׁא֖וּל וְיֹונָתָֽן׃ ,וְהָעִבְרִ֗ים הָי֤וּ לַפְּלִשְׁתִּים֙ כְּאֶתְמֹ֣ול שִׁלְשֹׁ֔ום 
3648,498042,Job 8:10,מִלִּבָּ֗ם ,Cmpl,הֲלֹא־הֵ֣ם יֹ֭ורוּךָ יֹ֣אמְרוּ לָ֑ךְ וּ֝מִלִּבָּ֗ם יֹוצִ֥אוּ מִלִּֽים׃ ,וּ֝מִלִּבָּ֗ם יֹוצִ֥אוּ מִלִּֽים׃ 
4662,514289,2_Chronicles 23:17,אֵ֗ת מַתָּן֙ כֹּהֵ֣ן הַבַּ֔עַל ,Objc,וַיָּבֹ֨אוּ כָל־הָעָ֤ם בֵּית־הַבַּ֨עַל֙ וַֽיִּתְּצֻ֔הוּ וְאֶת־מִזְבְּחֹתָ֥יו וְאֶת־צְלָמָ֖יו שִׁבֵּ֑רוּ וְאֵ֗ת מַתָּן֙ כֹּהֵ֣ן הַבַּ֔עַל הָרְג֖וּ לִפְנֵ֥י הַֽמִּזְבְּחֹֽות׃ ,וְאֵ֗ת מַתָּן֙ כֹּהֵ֣ן הַבַּ֔עַל הָרְג֖וּ לִפְנֵ֥י הַֽמִּזְבְּחֹֽות׃ 
701,441778,Numbers 8:8,פַר־שֵׁנִ֥י בֶן־בָּקָ֖ר ,Objc,וְלָֽקְחוּ֙ פַּ֣ר בֶּן־בָּקָ֔ר וּמִנְחָתֹ֔ו סֹ֖לֶת בְּלוּלָ֣ה בַשָּׁ֑מֶן וּפַר־שֵׁנִ֥י בֶן־בָּקָ֖ר תִּקַּ֥ח לְחַטָּֽאת׃ ,וּפַר־שֵׁנִ֥י בֶן־בָּקָ֖ר תִּקַּ֥ח לְחַטָּֽאת׃ 
2766,485376,Ezekiel 47:11,לְמֶ֥לַח ,Cmpl,בִּצֹּאתָ֧יו וּגְבָאָ֛יו וְלֹ֥א יֵרָפְא֖וּ לְמֶ֥לַח נִתָּֽנוּ׃ ,לְמֶ֥לַח נִתָּֽנוּ׃ 
4317,504626,Ecclesiastes 10:19,הַכֶּ֖סֶף ,Subj,לִשְׂחֹוק֙ עֹשִׂ֣ים לֶ֔חֶם וְיַ֖יִן יְשַׂמַּ֣ח חַיִּ֑ים וְהַכֶּ֖סֶף יַעֲנֶ֥ה אֶת־הַכֹּֽל׃ ,וְהַכֶּ֖סֶף יַעֲנֶ֥ה אֶת־הַכֹּֽל׃ 
3761,499027,Job 22:14,ח֥וּג שָׁ֝מַ֗יִם ,Objc,עָבִ֣ים סֵֽתֶר־לֹ֖ו וְלֹ֣א יִרְאֶ֑ה וְח֥וּג שָׁ֝מַ֗יִם יִתְהַלָּֽךְ׃ ,וְח֥וּג שָׁ֝מַ֗יִם יִתְהַלָּֽךְ׃ 
329,436548,Exodus 28:40,לִבְנֵ֤י אַהֲרֹן֙ ,Cmpl,וְלִבְנֵ֤י אַהֲרֹן֙ תַּעֲשֶׂ֣ה כֻתֳּנֹ֔ת וְעָשִׂ֥יתָ לָהֶ֖ם אַבְנֵטִ֑ים וּמִגְבָּעֹות֙ תַּעֲשֶׂ֣ה לָהֶ֔ם לְכָבֹ֖וד וּלְתִפְאָֽרֶת׃ ,וְלִבְנֵ֤י אַהֲרֹן֙ תַּעֲשֶׂ֣ה כֻתֳּנֹ֔ת 
190,434141,Exodus 6:12,בְּנֵֽי־יִשְׂרָאֵל֙ ,Subj,וַיְדַבֵּ֣ר מֹשֶׁ֔ה לִפְנֵ֥י יְהוָ֖ה לֵאמֹ֑ר הֵ֤ן בְּנֵֽי־יִשְׂרָאֵל֙ לֹֽא־שָׁמְע֣וּ אֵלַ֔י וְאֵיךְ֙ יִשְׁמָעֵ֣נִי פַרְעֹ֔ה וַאֲנִ֖י עֲרַ֥ל שְׂפָתָֽיִם׃ פ ,בְּנֵֽי־יִשְׂרָאֵל֙ לֹֽא־שָׁמְע֣וּ אֵלַ֔י 
