,cl_node,ref,target_ph,xphrase_function,verse_text,cl_text
937,446580,Deuteronomy 15:3,אֶת־הַנָּכְרִ֖י ,Objc,אֶת־הַנָּכְרִ֖י תִּגֹּ֑שׂ וַאֲשֶׁ֨ר יִהְיֶ֥ה לְךָ֛ אֶת־אָחִ֖יךָ תַּשְׁמֵ֥ט יָדֶֽךָ׃ ,אֶת־הַנָּכְרִ֖י תִּגֹּ֑שׂ 
2833,486376,Joel 1:4,יֶ֤תֶר הַגָּזָם֙ ,Objc,יֶ֤תֶר הַגָּזָם֙ אָכַ֣ל הָֽאַרְבֶּ֔ה וְיֶ֥תֶר הָאַרְבֶּ֖ה אָכַ֣ל הַיָּ֑לֶק וְיֶ֣תֶר הַיֶּ֔לֶק אָכַ֖ל הֶחָסִֽיל׃ ,יֶ֤תֶר הַגָּזָם֙ אָכַ֣ל הָֽאַרְבֶּ֔ה 
1259,456389,1_Samuel 19:13,אֵת֙ כְּבִ֣יר הָֽעִזִּ֔ים ,Objc,וַתִּקַּ֨ח מִיכַ֜ל אֶת־הַתְּרָפִ֗ים וַתָּ֨שֶׂם֙ אֶל־הַמִּטָּ֔ה וְאֵת֙ כְּבִ֣יר הָֽעִזִּ֔ים שָׂ֖מָה מְרַֽאֲשֹׁתָ֑יו וַתְּכַ֖ס בַּבָּֽגֶד׃ ס ,וְאֵת֙ כְּבִ֣יר הָֽעִזִּ֔ים שָׂ֖מָה מְרַֽאֲשֹׁתָ֑יו 
3876,499841,Job 34:28,צַעֲקַ֖ת עֲנִיִּ֣ים ,Objc,לְהָבִ֣יא עָ֭לָיו צַֽעֲקַת־דָּ֑ל וְצַעֲקַ֖ת עֲנִיִּ֣ים יִשְׁמָֽע׃ ,וְצַעֲקַ֖ת עֲנִיִּ֣ים יִשְׁמָֽע׃ 
2901,487654,Micah 1:7,כָל־פְּסִילֶ֣יהָ ,Subj,וְכָל־פְּסִילֶ֣יהָ יֻכַּ֗תּוּ וְכָל־אֶתְנַנֶּ֨יהָ֙ יִשָּׂרְפ֣וּ בָאֵ֔שׁ וְכָל־עֲצַבֶּ֖יהָ אָשִׂ֣ים שְׁמָמָ֑ה כִּ֠י מֵאֶתְנַ֤ן זֹונָה֙ קִבָּ֔צָה וְעַד־אֶתְנַ֥ן זֹונָ֖ה יָשֽׁוּבוּ׃ ,וְכָל־פְּסִילֶ֣יהָ יֻכַּ֗תּוּ 
1593,467585,2_Kings 20:14,מֵאֶ֧רֶץ רְחֹוקָ֛ה מִבָּבֶֽל׃ ,Cmpl,וַיָּבֹא֙ יְשַֽׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ וַיֹּ֨אמֶר אֵלָ֜יו מָ֥ה אָמְר֣וּ׀ הָאֲנָשִׁ֣ים הָאֵ֗לֶּה וּמֵאַ֨יִן֙ יָבֹ֣אוּ אֵלֶ֔יךָ וַיֹּ֨אמֶר֙ חִזְקִיָּ֔הוּ מֵאֶ֧רֶץ רְחֹוקָ֛ה בָּ֖אוּ מִבָּבֶֽל׃ ,מֵאֶ֧רֶץ רְחֹוקָ֛ה בָּ֖אוּ מִבָּבֶֽל׃ 
1499,464322,1_Kings 20:39,כִכַּר־כֶּ֖סֶף ,Objc,וַיְהִ֤י הַמֶּ֨לֶךְ֙ עֹבֵ֔ר וְה֖וּא צָעַ֣ק אֶל־הַמֶּ֑לֶךְ וַיֹּ֜אמֶר עַבְדְּךָ֣׀ יָצָ֣א בְקֶֽרֶב־הַמִּלְחָמָ֗ה וְהִנֵּֽה־אִ֨ישׁ סָ֜ר וַיָּבֵ֧א אֵלַ֣י אִ֗ישׁ וַיֹּ֨אמֶר֙ שְׁמֹר֙ אֶת־הָאִ֣ישׁ הַזֶּ֔ה אִם־הִפָּקֵד֙ יִפָּקֵ֔ד וְהָיְתָ֤ה נַפְשְׁךָ֙ תַּ֣חַת נַפְשֹׁ֔ו אֹ֥ו כִכַּר־כֶּ֖סֶף תִּשְׁקֹֽול׃ ,אֹ֥ו כִכַּר־כֶּ֖סֶף תִּשְׁקֹֽול׃ 
3149,491432,Psalms 29:9,קֹ֤ול יְהוָ֨ה׀ ,Subj,קֹ֤ול יְהוָ֨ה׀ יְחֹולֵ֣ל אַיָּלֹות֮ וַֽיֶּחֱשֹׂ֪ף יְעָ֫רֹ֥ות וּבְהֵיכָלֹ֑ו כֻּ֝לֹּ֗ו אֹמֵ֥ר כָּבֹֽוד׃ ,קֹ֤ול יְהוָ֨ה׀ יְחֹולֵ֣ל אַיָּלֹות֮ 
3077,490564,Psalms 10:4,כְּגֹ֣בַהּ אַ֭פֹּו ,Adju,רָשָׁ֗ע כְּגֹ֣בַהּ אַ֭פֹּו בַּל־יִדְרֹ֑שׁ אֵ֥ין אֱ֝לֹהִ֗ים כָּל־מְזִמֹּותָֽיו׃ ,רָשָׁ֗ע כְּגֹ֣בַהּ אַ֭פֹּו בַּל־יִדְרֹ֑שׁ 
1180,454097,1_Samuel 2:8,מֵֽאַשְׁפֹּת֙ ,Cmpl,מֵקִ֨ים מֵעָפָ֜ר דָּ֗ל מֵֽאַשְׁפֹּת֙ יָרִ֣ים אֶבְיֹ֔ון לְהֹושִׁיב֙ עִם־נְדִיבִ֔ים וְכִסֵּ֥א כָבֹ֖וד יַנְחִלֵ֑ם כִּ֤י לַֽיהוָה֙ מְצֻ֣קֵי אֶ֔רֶץ וַיָּ֥שֶׁת עֲלֵיהֶ֖ם תֵּבֵֽל׃ ,מֵֽאַשְׁפֹּת֙ יָרִ֣ים אֶבְיֹ֔ון 
266,435803,Exodus 21:9,כְּמִשְׁפַּ֥ט הַבָּנֹ֖ות ,Adju,וְאִם־לִבְנֹ֖ו יִֽיעָדֶ֑נָּה כְּמִשְׁפַּ֥ט הַבָּנֹ֖ות יַעֲשֶׂה־לָּֽהּ׃ ,כְּמִשְׁפַּ֥ט הַבָּנֹ֖ות יַעֲשֶׂה־לָּֽהּ׃ 
3371,494489,Psalms 85:14,לְפָנָ֣יו ,Cmpl,צֶ֭דֶק לְפָנָ֣יו יְהַלֵּ֑ךְ וְיָשֵׂ֖ם לְדֶ֣רֶךְ פְּעָמָֽיו׃ ,צֶ֭דֶק לְפָנָ֣יו יְהַלֵּ֑ךְ 
3718,498703,Job 17:16,בַּדֵּ֣י שְׁאֹ֣ל ,Adju,בַּדֵּ֣י שְׁאֹ֣ל תֵּרַ֑דְנָה אִם־יַ֖חַד עַל־עָפָ֣ר נָֽחַת׃ ס ,בַּדֵּ֣י שְׁאֹ֣ל תֵּרַ֑דְנָה 
