node,function,verse,text,front,sentence
512335,simultaneous,1 Chr 29:22,בַּיֹּ֥ום ה֖וּא,בְּ,וַיִּשְׁתּ֜וּ לִפְנֵ֧י יְהוָ֛ה בַּיֹּ֥ום הַה֖וּא בְּשִׂמְחָ֣ה גְדֹולָ֑ה 
512349,atelic_ext,1 Chr 29:27,שֶׁ֣בַע שָׁנִ֔ים,Ø,בְּחֶבְרֹ֤ון מָלַךְ֙ שֶׁ֣בַע שָׁנִ֔ים 
512350,atelic_ext,1 Chr 29:27,שְׁלֹשִׁ֥ים וְשָׁלֹֽושׁ׃,Ø,וּבִירוּשָׁלִַ֥ם מָלַ֖ךְ שְׁלֹשִׁ֥ים וְשָׁלֹֽושׁ׃ 
512374,simultaneous,2 Chr 1:7,בַּלַּ֣יְלָה ה֔וּא,בְּ,בַּלַּ֣יְלָה הַה֔וּא נִרְאָ֥ה אֱלֹהִ֖ים לִשְׁלֹמֹ֑ה 
512678,atelic_ext,2 Chr 6:2,עֹולָמִֽים׃,Ø,וַֽאֲנִ֛י בָּנִ֥יתִי בֵית־זְבֻ֖ל לָ֑ךְ וּמָכֹ֥ון לְשִׁבְתְּךָ֖ עֹולָמִֽים׃ 
512735,simultaneous,2 Chr 6:15,כַּיֹּ֥ום זֶּֽה׃,כְּ,וּבְיָדְךָ֥ מִלֵּ֖אתָ כַּיֹּ֥ום הַזֶּֽה׃ 
512822,atelic_ext,2 Chr 6:31,כָּל־הַ֨יָּמִ֔ים,Ø,לְמַ֣עַן יִֽירָא֗וּךָ לָלֶ֨כֶת֙ בִּדְרָכֶ֔יךָ כָּל־הַ֨יָּמִ֔ים אֲשֶׁר־הֵ֥ם חַיִּ֖ים עַל־פְּנֵ֣י הָאֲדָמָ֑ה אֲשֶׁ֥ר נָתַ֖תָּה לַאֲבֹתֵֽינוּ׃ ס 
512921,simultaneous,2 Chr 7:9,בַּיֹּ֥ום שְּׁמִינִ֖י,בְּ,וַֽיַּעֲשׂ֛וּ בַּיֹּ֥ום הַשְּׁמִינִ֖י עֲצָ֑רֶת 
512922,atelic_ext,2 Chr 7:9,שִׁבְעַ֣ת יָמִ֔ים,Ø,כִּ֣י׀ חֲנֻכַּ֣ת הַמִּזְבֵּ֗חַ עָשׂוּ֙ שִׁבְעַ֣ת יָמִ֔ים וְהֶחָ֖ג שִׁבְעַ֥ת יָמִֽים׃ 
512923,atelic_ext,2 Chr 7:9,שִׁבְעַ֥ת יָמִֽים׃,Ø,כִּ֣י׀ חֲנֻכַּ֣ת הַמִּזְבֵּ֗חַ עָשׂוּ֙ שִׁבְעַ֣ת יָמִ֔ים וְהֶחָ֖ג שִׁבְעַ֥ת יָמִֽים׃ 
512924,simultaneous,2 Chr 7:10,בְיֹ֨ום עֶשְׂרִ֤ים וּשְׁלֹשָׁה֙ לַחֹ֣דֶשׁ שְּׁבִיעִ֔י,בְּ,וּבְיֹ֨ום עֶשְׂרִ֤ים וּשְׁלֹשָׁה֙ לַחֹ֣דֶשׁ הַשְּׁבִיעִ֔י שִׁלַּ֥ח אֶת־הָעָ֖ם לְאָהֳלֵיהֶ֑ם שְׂמֵחִים֙ וְטֹ֣ובֵי לֵ֔ב עַל־הַטֹּובָ֗ה אֲשֶׁ֨ר עָשָׂ֤ה יְהוָה֙ לְדָוִ֣יד וְלִשְׁלֹמֹ֔ה וּלְיִשְׂרָאֵ֖ל עַמֹּֽו׃ 
512930,simultaneous,2 Chr 7:12,בַּלָּ֑יְלָה,בְּ,וַיֵּרָ֧א יְהוָ֛ה אֶל־שְׁלֹמֹ֖ה בַּלָּ֑יְלָה 
512953,atelic_ext,2 Chr 7:16,כָּל־הַיָּמִֽים׃,Ø,וְהָי֨וּ עֵינַ֧י וְלִבִּ֛י שָׁ֖ם כָּל־הַיָּמִֽים׃ 
513070,atelic_ext,2 Chr 9:7,תָּמִ֔יד,תָּמִיד,וְאַשְׁרֵ֖י עֲבָדֶ֣יךָ אֵ֑לֶּה הָעֹמְדִ֤ים לְפָנֶ֨יךָ֙ תָּמִ֔יד וְשֹׁמְעִ֖ים אֶת־חָכְמָתֶֽךָ׃ 
513113,simultaneous,2 Chr 9:20,בִּימֵ֥י שְׁלֹמֹ֖ה,בְּ,אֵ֣ין כֶּ֗סֶף נֶחְשָׁ֛ב בִּימֵ֥י שְׁלֹמֹ֖ה לִמְאֽוּמָה׃ 
