,cl_node,ref,clause_type,verse_text,cl_text,target_ph,xphrase_function
5800,433299,Genesis 48:20,clause_x,וַיְבָ֨רֲכֵ֜ם בַּיֹּ֣ום הַהוּא֮ לֵאמֹור֒ בְּךָ֗ יְבָרֵ֤ךְ יִשְׂרָאֵל֙ לֵאמֹ֔ר יְשִֽׂמְךָ֣ אֱלֹהִ֔ים כְּאֶפְרַ֖יִם וְכִמְנַשֶּׁ֑ה וַיָּ֥שֶׂם אֶת־אֶפְרַ֖יִם לִפְנֵ֥י מְנַשֶּֽׁה׃ ,וַיְבָ֨רֲכֵ֜ם בַּיֹּ֣ום הַהוּא֮ ,בַּיֹּ֣ום הַהוּא֮ ,Time
6145,434942,Exodus 13:8,clause_x,וְהִגַּדְתָּ֣ לְבִנְךָ֔ בַּיֹּ֥ום הַה֖וּא לֵאמֹ֑ר בַּעֲב֣וּר זֶ֗ה עָשָׂ֤ה יְהוָה֙ לִ֔י בְּצֵאתִ֖י מִמִּצְרָֽיִם׃ ,וְהִגַּדְתָּ֣ לְבִנְךָ֔ בַּיֹּ֥ום הַה֖וּא ,בַּיֹּ֥ום הַה֖וּא ,Time
7741,441850,Numbers 9:6,clause_x,וַיְהִ֣י אֲנָשִׁ֗ים אֲשֶׁ֨ר הָי֤וּ טְמֵאִים֙ לְנֶ֣פֶשׁ אָדָ֔ם וְלֹא־יָכְל֥וּ לַעֲשֹׂת־הַפֶּ֖סַח בַּיֹּ֣ום הַה֑וּא וַֽיִּקְרְב֞וּ לִפְנֵ֥י מֹשֶׁ֛ה וְלִפְנֵ֥י אַהֲרֹ֖ן בַּיֹּ֥ום הַהֽוּא׃ ,וַֽיִּקְרְב֞וּ לִפְנֵ֥י מֹשֶׁ֛ה וְלִפְנֵ֥י אַהֲרֹ֖ן בַּיֹּ֥ום הַהֽוּא׃ ,בַּיֹּ֥ום הַהֽוּא׃ ,Time
8215,444408,Numbers 32:10,clause_x,וַיִּֽחַר־אַ֥ף יְהוָ֖ה בַּיֹּ֣ום הַה֑וּא וַיִּשָּׁבַ֖ע לֵאמֹֽר׃ ,וַיִּֽחַר־אַ֥ף יְהוָ֖ה בַּיֹּ֣ום הַה֑וּא ,בַּיֹּ֣ום הַה֑וּא ,Time
8960,447710,Deuteronomy 27:11,clause_x,וַיְצַ֤ו מֹשֶׁה֙ אֶת־הָעָ֔ם בַּיֹּ֥ום הַה֖וּא לֵאמֹֽר׃ ,וַיְצַ֤ו מֹשֶׁה֙ אֶת־הָעָ֔ם בַּיֹּ֥ום הַה֖וּא ,בַּיֹּ֥ום הַה֖וּא ,Time
9074,448309,Deuteronomy 31:17,clause_x,וְחָרָ֣ה אַפִּ֣י בֹ֣ו בַיֹּום־הַ֠הוּא וַעֲזַבְתִּ֞ים וְהִסְתַּרְתִּ֨י פָנַ֤י מֵהֶם֙ וְהָיָ֣ה לֶֽאֱכֹ֔ל וּמְצָאֻ֛הוּ רָעֹ֥ות רַבֹּ֖ות וְצָרֹ֑ות וְאָמַר֙ בַּיֹּ֣ום הַה֔וּא הֲלֹ֗א עַ֣ל כִּֽי־אֵ֤ין אֱלֹהַי֙ בְּקִרְבִּ֔י מְצָא֖וּנִי הָרָעֹ֥ות הָאֵֽלֶּה׃ ,וְחָרָ֣ה אַפִּ֣י בֹ֣ו בַיֹּום־הַ֠הוּא ,בַיֹּום־הַ֠הוּא ,Time
9075,448315,Deuteronomy 31:17,clause_x,וְחָרָ֣ה אַפִּ֣י בֹ֣ו בַיֹּום־הַ֠הוּא וַעֲזַבְתִּ֞ים וְהִסְתַּרְתִּ֨י פָנַ֤י מֵהֶם֙ וְהָיָ֣ה לֶֽאֱכֹ֔ל וּמְצָאֻ֛הוּ רָעֹ֥ות רַבֹּ֖ות וְצָרֹ֑ות וְאָמַר֙ בַּיֹּ֣ום הַה֔וּא הֲלֹ֗א עַ֣ל כִּֽי־אֵ֤ין אֱלֹהַי֙ בְּקִרְבִּ֔י מְצָא֖וּנִי הָרָעֹ֥ות הָאֵֽלֶּה׃ ,וְאָמַר֙ בַּיֹּ֣ום הַה֔וּא ,בַּיֹּ֣ום הַה֔וּא ,Time
9084,448344,Deuteronomy 31:22,clause_x,וַיִּכְתֹּ֥ב מֹשֶׁ֛ה אֶת־הַשִּׁירָ֥ה הַזֹּ֖את בַּיֹּ֣ום הַה֑וּא וַֽיְלַמְּדָ֖הּ אֶת־בְּנֵ֥י יִשְׂרָאֵֽל׃ ,וַיִּכְתֹּ֥ב מֹשֶׁ֛ה אֶת־הַשִּׁירָ֥ה הַזֹּ֖את בַּיֹּ֣ום הַה֑וּא ,בַּיֹּ֣ום הַה֑וּא ,Time
9402,449864,Joshua 10:35,clause_x,וַֽיִּלְכְּד֜וּהָ בַּיֹּ֤ום הַהוּא֙ וַיַּכּ֣וּהָ לְפִי־חֶ֔רֶב וְאֵת֙ כָּל־הַנֶּ֣פֶשׁ אֲשֶׁר־בָּ֔הּ בַּיֹּ֥ום הַה֖וּא הֶחֱרִ֑ים כְּכֹ֥ל אֲשֶׁר־עָשָׂ֖ה לְלָכִֽישׁ׃ פ ,וַֽיִּלְכְּד֜וּהָ בַּיֹּ֤ום הַהוּא֙ ,בַּיֹּ֤ום הַהוּא֙ ,Time
9444,450141,Joshua 14:9,clause_x,וַיִּשָּׁבַ֣ע מֹשֶׁ֗ה בַּיֹּ֣ום הַהוּא֮ לֵאמֹר֒ אִם־לֹ֗א הָאָ֨רֶץ֙ אֲשֶׁ֨ר דָּרְכָ֤ה רַגְלְךָ֙ בָּ֔הּ לְךָ֨ תִֽהְיֶ֧ה לְנַחֲלָ֛ה וּלְבָנֶ֖יךָ עַד־עֹולָ֑ם כִּ֣י מִלֵּ֔אתָ אַחֲרֵ֖י יְהוָ֥ה אֱלֹהָֽי׃ ,וַיִּשָּׁבַ֣ע מֹשֶׁ֗ה בַּיֹּ֣ום הַהוּא֮ ,בַּיֹּ֣ום הַהוּא֮ ,Time
