,cl_node,ref,target_ph,xphrase_function,verse_text,cl_text
7483,440554,Leviticus 25:27,הֵשִׁיב֙ ,Cmpl,וְחִשַּׁב֙ אֶת־שְׁנֵ֣י מִמְכָּרֹ֔ו וְהֵשִׁיב֙ אֶת־הָ֣עֹדֵ֔ף לָאִ֖ישׁ אֲשֶׁ֣ר מָֽכַר־לֹ֑ו וְשָׁ֖ב לַאֲחֻזָּתֹֽו׃ ,וְהֵשִׁיב֙ אֶת־הָ֣עֹדֵ֔ף לָאִ֖ישׁ 
16396,488956,Zechariah 1:4,אָמַר֙ ,Subj,אַל־תִּהְי֣וּ כַאֲבֹֽתֵיכֶ֡ם אֲשֶׁ֣ר קָרְאֽוּ־אֲלֵיהֶם֩ הַנְּבִיאִ֨ים הָרִֽאשֹׁנִ֜ים לֵאמֹ֗ר כֹּ֤ה אָמַר֙ יְהוָ֣ה צְבָאֹ֔ות שׁ֤וּבוּ נָא֙ מִדַּרְכֵיכֶ֣ם הָרָעִ֔ים וּמַֽעַלְלֵיכֶ֖ם הָֽרָעִ֑ים וְלֹ֥א שָׁמְע֛וּ וְלֹֽא־הִקְשִׁ֥יבוּ אֵלַ֖י נְאֻם־יְהוָֽה׃ ,כֹּ֤ה אָמַר֙ יְהוָ֣ה צְבָאֹ֔ות 
15104,480539,Ezekiel 7:2,אָמַ֞ר ,Cmpl,וְאַתָּ֣ה בֶן־אָדָ֗ם כֹּה־אָמַ֞ר אֲדֹנָ֧י יְהוִ֛ה לְאַדְמַ֥ת יִשְׂרָאֵ֖ל קֵ֑ץ בָּ֣א הַקֵּ֔ץ עַל־אַרְבַּ֖ע כַּנְפֹ֥ות הָאָֽרֶץ׃ ,כֹּה־אָמַ֞ר אֲדֹנָ֧י יְהוִ֛ה לְאַדְמַ֥ת יִשְׂרָאֵ֖ל 
10123,453119,Judges 16:12,תִּקַּ֣ח ,Objc,וַתִּקַּ֣ח דְּלִילָה֩ עֲבֹתִ֨ים חֲדָשִׁ֜ים וַתַּאַסְרֵ֣הוּ בָהֶ֗ם וַתֹּ֤אמֶר אֵלָיו֙ פְּלִשְׁתִּ֤ים עָלֶ֨יךָ֙ שִׁמְשֹׁ֔ון וְהָאֹרֵ֖ב יֹשֵׁ֣ב בֶּחָ֑דֶר וַֽיְנַתְּקֵ֛ם מֵעַ֥ל זְרֹעֹתָ֖יו כַּחֽוּט׃ ,וַתִּקַּ֣ח דְּלִילָה֩ עֲבֹתִ֨ים חֲדָשִׁ֜ים 
15348,482059,Ezekiel 20:10,אֲבִאֵ֖ם ,Cmpl,וָאֹֽוצִיאֵ֖ם מֵאֶ֣רֶץ מִצְרָ֑יִם וָאֲבִאֵ֖ם אֶל־הַמִּדְבָּֽר׃ ,וָאֲבִאֵ֖ם אֶל־הַמִּדְבָּֽר׃ 
18729,508607,Nehemiah 2:1,אֶשָּׂ֤א ,Objc,וַיְהִ֣י׀ בְּחֹ֣דֶשׁ נִיסָ֗ן שְׁנַ֥ת עֶשְׂרִ֛ים לְאַרְתַּחְשַׁ֥סְתְּא הַמֶּ֖לֶךְ יַ֣יִן לְפָנָ֑יו וָאֶשָּׂ֤א אֶת־הַיַּ֨יִן֙ וָאֶתְּנָ֣ה לַמֶּ֔לֶךְ וְלֹא־הָיִ֥יתִי רַ֖ע לְפָנָֽיו׃ ,וָאֶשָּׂ֤א אֶת־הַיַּ֨יִן֙ 
19300,512977,2_Chronicles 7:21,הָיָ֣ה ,Adju,וְהַבַּ֤יִת הַזֶּה֙ אֲשֶׁ֣ר הָיָ֣ה עֶלְיֹ֔ון לְכָל־עֹבֵ֥ר עָלָ֖יו יִשֹּׁ֑ם וְאָמַ֗ר בַּמֶּ֨ה עָשָׂ֤ה יְהוָה֙ כָּ֔כָה לָאָ֥רֶץ הַזֹּ֖את וְלַבַּ֥יִת הַזֶּֽה׃ ,אֲשֶׁ֣ר הָיָ֣ה עֶלְיֹ֔ון לְכָל־
6564,436855,Exodus 31:14,שְׁמַרְתֶּם֙ ,Objc,וּשְׁמַרְתֶּם֙ אֶת־הַשַּׁבָּ֔ת כִּ֛י קֹ֥דֶשׁ הִ֖וא לָכֶ֑ם מְחַֽלְלֶ֨יהָ֙ מֹ֣ות יוּמָ֔ת כִּ֗י כָּל־הָעֹשֶׂ֥ה בָהּ֙ מְלָאכָ֔ה וְנִכְרְתָ֛ה הַנֶּ֥פֶשׁ הַהִ֖וא מִקֶּ֥רֶב עַמֶּֽיהָ׃ ,וּשְׁמַרְתֶּם֙ אֶת־הַשַּׁבָּ֔ת 
12100,462327,1_Kings 8:33,הֹוד֣וּ ,Objc,בְּֽהִנָּגֵ֞ף עַמְּךָ֧ יִשְׂרָאֵ֛ל לִפְנֵ֥י אֹויֵ֖ב אֲשֶׁ֣ר יֶחֶטְאוּ־לָ֑ךְ וְשָׁ֤בוּ אֵלֶ֨יךָ֙ וְהֹוד֣וּ אֶת־שְׁמֶ֔ךָ וְהִֽתְפַּֽלְל֧וּ וְהִֽתְחַנְּנ֛וּ אֵלֶ֖יךָ בַּבַּ֥יִת הַזֶּֽה׃ ,וְהֹוד֣וּ אֶת־שְׁמֶ֔ךָ 
11831,461043,2_Samuel 24:7,יֵּֽצְא֛וּ ,Cmpl,וַיָּבֹ֨אוּ מִבְצַר־צֹ֔ר וְכָל־עָרֵ֥י הַחִוִּ֖י וְהַֽכְּנַעֲנִ֑י וַיֵּֽצְא֛וּ אֶל־נֶ֥גֶב יְהוּדָ֖ה בְּאֵ֥ר שָֽׁבַע׃ ,וַיֵּֽצְא֛וּ אֶל־נֶ֥גֶב יְהוּדָ֖ה בְּאֵ֥ר שָֽׁבַע׃ 
