,cl_node,ref,clause_type,verse_text,cl_text,target_ph,xphrase_function
8198,444316,Numbers 31:24,clause_x,וְכִבַּסְתֶּ֧ם בִּגְדֵיכֶ֛ם בַּיֹּ֥ום הַשְּׁבִיעִ֖י וּטְהַרְתֶּ֑ם וְאַחַ֖ר תָּבֹ֥אוּ אֶל־הַֽמַּחֲנֶֽה׃ פ ,וְכִבַּסְתֶּ֧ם בִּגְדֵיכֶ֛ם בַּיֹּ֥ום הַשְּׁבִיעִ֖י ,בַּיֹּ֥ום הַשְּׁבִיעִ֖י ,Time
8309,444895,Deuteronomy 1:9,clause_x,וָאֹמַ֣ר אֲלֵכֶ֔ם בָּעֵ֥ת הַהִ֖וא לֵאמֹ֑ר לֹא־אוּכַ֥ל לְבַדִּ֖י שְׂאֵ֥ת אֶתְכֶֽם׃ ,וָאֹמַ֣ר אֲלֵכֶ֔ם בָּעֵ֥ת הַהִ֖וא ,בָּעֵ֥ת הַהִ֖וא ,Time
8312,444915,Deuteronomy 1:16,clause_x,וָאֲצַוֶּה֙ אֶת־שֹׁ֣פְטֵיכֶ֔ם בָּעֵ֥ת הַהִ֖וא לֵאמֹ֑ר שָׁמֹ֤עַ בֵּין־אֲחֵיכֶם֙ וּשְׁפַטְתֶּ֣ם צֶ֔דֶק בֵּֽין־אִ֥ישׁ וּבֵין־אָחִ֖יו וּבֵ֥ין גֵּרֹֽו׃ ,וָאֲצַוֶּה֙ אֶת־שֹׁ֣פְטֵיכֶ֔ם בָּעֵ֥ת הַהִ֖וא ,בָּעֵ֥ת הַהִ֖וא ,Time
8361,445191,Deuteronomy 2:34,clause_x,וַנִּלְכֹּ֤ד אֶת־כָּל־עָרָיו֙ בָּעֵ֣ת הַהִ֔וא וַֽנַּחֲרֵם֙ אֶת־כָּל־עִ֣יר מְתִ֔ם וְהַנָּשִׁ֖ים וְהַטָּ֑ף לֹ֥א הִשְׁאַ֖רְנוּ שָׂרִֽיד׃ ,וַנִּלְכֹּ֤ד אֶת־כָּל־עָרָיו֙ בָּעֵ֣ת הַהִ֔וא ,בָּעֵ֣ת הַהִ֔וא ,Time
8364,445217,Deuteronomy 3:4,clause_x,וַנִּלְכֹּ֤ד אֶת־כָּל־עָרָיו֙ בָּעֵ֣ת הַהִ֔וא לֹ֤א הָֽיְתָה֙ קִרְיָ֔ה אֲשֶׁ֥ר לֹא־לָקַ֖חְנוּ מֵֽאִתָּ֑ם שִׁשִּׁ֥ים עִיר֙ כָּל־חֶ֣בֶל אַרְגֹּ֔ב מַמְלֶ֥כֶת עֹ֖וג בַּבָּשָֽׁן׃ ,וַנִּלְכֹּ֤ד אֶת־כָּל־עָרָיו֙ בָּעֵ֣ת הַהִ֔וא ,בָּעֵ֣ת הַהִ֔וא ,Time
8367,445247,Deuteronomy 3:18,clause_x,וָאֲצַ֣ו אֶתְכֶ֔ם בָּעֵ֥ת הַהִ֖וא לֵאמֹ֑ר יְהוָ֣ה אֱלֹהֵיכֶ֗ם נָתַ֨ן לָכֶ֜ם אֶת־הָאָ֤רֶץ הַזֹּאת֙ לְרִשְׁתָּ֔הּ חֲלוּצִ֣ים תַּֽעַבְר֗וּ לִפְנֵ֛י אֲחֵיכֶ֥ם בְּנֵֽי־יִשְׂרָאֵ֖ל כָּל־בְּנֵי־חָֽיִל׃ ,וָאֲצַ֣ו אֶתְכֶ֔ם בָּעֵ֥ת הַהִ֖וא ,בָּעֵ֥ת הַהִ֖וא ,Time
8372,445274,Deuteronomy 3:23,clause_x,וָאֶתְחַנַּ֖ן אֶל־יְהוָ֑ה בָּעֵ֥ת הַהִ֖וא לֵאמֹֽר׃ ,וָאֶתְחַנַּ֖ן אֶל־יְהוָ֑ה בָּעֵ֥ת הַהִ֖וא ,בָּעֵ֥ת הַהִ֖וא ,Time
8519,446012,Deuteronomy 9:20,clause_x,וּֽבְאַהֲרֹ֗ן הִתְאַנַּ֧ף יְהוָ֛ה מְאֹ֖ד לְהַשְׁמִידֹ֑ו וָֽאֶתְפַּלֵּ֛ל גַּם־בְּעַ֥ד אַהֲרֹ֖ן בָּעֵ֥ת הַהִֽוא׃ ,וָֽאֶתְפַּלֵּ֛ל גַּם־בְּעַ֥ד אַהֲרֹ֖ן בָּעֵ֥ת הַהִֽוא׃ ,בָּעֵ֥ת הַהִֽוא׃ ,Time
9235,449152,Joshua 5:12,clause_x,וַיִּשְׁבֹּ֨ת הַמָּ֜ן מִֽמָּחֳרָ֗ת בְּאָכְלָם֙ מֵעֲב֣וּר הָאָ֔רֶץ וְלֹא־הָ֥יָה עֹ֛וד לִבְנֵ֥י יִשְׂרָאֵ֖ל מָ֑ן וַיֹּאכְל֗וּ מִתְּבוּאַת֙ אֶ֣רֶץ כְּנַ֔עַן בַּשָּׁנָ֖ה הַהִֽיא׃ ס ,וַיֹּאכְל֗וּ מִתְּבוּאַת֙ אֶ֣רֶץ כְּנַ֔עַן בַּשָּׁנָ֖ה הַהִֽיא׃ ס ,בַּשָּׁנָ֖ה הַהִֽיא׃ ס ,Time
9268,449296,Joshua 6:26,clause_x,וַיַּשְׁבַּ֣ע יְהֹושֻׁ֔עַ בָּעֵ֥ת הַהִ֖יא לֵאמֹ֑ר אָר֨וּר הָאִ֜ישׁ לִפְנֵ֣י יְהוָ֗ה אֲשֶׁ֤ר יָקוּם֙ וּבָנָ֞ה אֶת־הָעִ֤יר הַזֹּאת֙ אֶת־יְרִיחֹ֔ו בִּבְכֹרֹ֣ו יְיַסְּדֶ֔נָּה וּבִצְעִירֹ֖ו יַצִּ֥יב דְּלָתֶֽיהָ׃ ,וַיַּשְׁבַּ֣ע יְהֹושֻׁ֔עַ בָּעֵ֥ת הַהִ֖יא ,בָּעֵ֥ת הַהִ֖יא ,Time
9305,449427,Joshua 7:25,clause_x,וַיֹּ֤אמֶר יְהֹושֻׁ֨עַ֙ מֶ֣ה עֲכַרְתָּ֔נוּ יַעְכֳּרְךָ֥ יְהוָ֖ה בַּיֹּ֣ום הַזֶּ֑ה וַיִּרְגְּמ֨וּ אֹתֹ֤ו כָל־יִשְׂרָאֵל֙ אֶ֔בֶן וַיִּשְׂרְפ֤וּ אֹתָם֙ בָּאֵ֔שׁ וַיִּסְקְל֥וּ אֹתָ֖ם בָּאֲבָנִֽים׃ ,יַעְכֳּרְךָ֥ יְהוָ֖ה בַּיֹּ֣ום הַזֶּ֑ה ,בַּיֹּ֣ום הַזֶּ֑ה ,Time
9353,449664,Joshua 9:17,clause_x,וַיִּסְע֣וּ בְנֵֽי־יִשְׂרָאֵ֗ל וַיָּבֹ֛אוּ אֶל־עָרֵיהֶ֖ם בַּיֹּ֣ום הַשְּׁלִישִׁ֑י וְעָרֵיהֶם֙ גִּבְעֹ֣ון וְהַכְּפִירָ֔ה וּבְאֵרֹ֖ות וְקִרְיַ֥ת יְעָרִֽים׃ ,וַיָּבֹ֛אוּ אֶל־עָרֵיהֶ֖ם בַּיֹּ֣ום הַשְּׁלִישִׁ֑י ,בַּיֹּ֣ום הַשְּׁלִישִׁ֑י ,Time
9401,449851,Joshua 10:32,clause_x,וַיִּתֵּן֩ יְהוָ֨ה אֶת־לָכִ֜ישׁ בְּיַ֣ד יִשְׂרָאֵ֗ל וַֽיִּלְכְּדָהּ֙ בַּיֹּ֣ום הַשֵּׁנִ֔י וַיַּכֶּ֣הָ לְפִי־חֶ֔רֶב וְאֶת־כָּל־הַנֶּ֖פֶשׁ אֲשֶׁר־בָּ֑הּ כְּכֹ֥ל אֲשֶׁר־עָשָׂ֖ה לְלִבְנָֽה׃ פ ,וַֽיִּלְכְּדָהּ֙ בַּיֹּ֣ום הַשֵּׁנִ֔י ,בַּיֹּ֣ום הַשֵּׁנִ֔י ,Time
9414,449933,Joshua 11:10,clause_x,וַיָּ֨שָׁב יְהֹושֻׁ֜עַ בָּעֵ֤ת הַהִיא֙ וַיִּלְכֹּ֣ד אֶת־חָצֹ֔ור וְאֶת־מַלְכָּ֖הּ הִכָּ֣ה בֶחָ֑רֶב כִּֽי־חָצֹ֣ור לְפָנִ֔ים הִ֕יא רֹ֖אשׁ כָּל־הַמַּמְלָכֹ֥ות הָאֵֽלֶּה׃ ,וַיָּ֨שָׁב יְהֹושֻׁ֜עַ בָּעֵ֤ת הַהִיא֙ ,בָּעֵ֤ת הַהִיא֙ ,Time
9422,449977,Joshua 11:21,clause_x,וַיָּבֹ֨א יְהֹושֻׁ֜עַ בָּעֵ֣ת הַהִ֗יא וַיַּכְרֵ֤ת אֶת־הָֽעֲנָקִים֙ מִן־הָהָ֤ר מִן־חֶבְרֹון֙ מִן־דְּבִ֣ר מִן־עֲנָ֔ב וּמִכֹּל֙ הַ֣ר יְהוּדָ֔ה וּמִכֹּ֖ל הַ֣ר יִשְׂרָאֵ֑ל עִם־עָרֵיהֶ֖ם הֶחֱרִימָ֥ם יְהֹושֻֽׁעַ׃ ,וַיָּבֹ֨א יְהֹושֻׁ֜עַ בָּעֵ֣ת הַהִ֗יא ,בָּעֵ֣ת הַהִ֗יא ,Time
9539,450606,Joshua 20:6,clause_x,וְיָשַׁ֣ב׀ בָּעִ֣יר הַהִ֗יא עַד־עָמְדֹ֞ו לִפְנֵ֤י הָֽעֵדָה֙ לַמִּשְׁפָּ֔ט עַד־מֹות֙ הַכֹּהֵ֣ן הַגָּדֹ֔ול אֲשֶׁ֥ר יִהְיֶ֖ה בַּיָּמִ֣ים הָהֵ֑ם אָ֣ז׀ יָשׁ֣וּב הָרֹוצֵ֗חַ וּבָ֤א אֶל־עִירֹו֙ וְאֶל־בֵּיתֹ֔ו אֶל־הָעִ֖יר אֲשֶׁר־נָ֥ס מִשָּֽׁם׃ ,אֲשֶׁ֥ר יִהְיֶ֖ה בַּיָּמִ֣ים הָהֵ֑ם ,בַּיָּמִ֣ים הָהֵ֑ם ,Time
9821,451873,Judges 6:40,clause_x,וַיַּ֧עַשׂ אֱלֹהִ֛ים כֵּ֖ן בַּלַּ֣יְלָה הַה֑וּא וַיְהִי־חֹ֤רֶב אֶל־הַגִּזָּה֙ לְבַדָּ֔הּ וְעַל־כָּל־הָאָ֖רֶץ הָ֥יָה טָֽל׃ פ ,וַיַּ֧עַשׂ אֱלֹהִ֛ים כֵּ֖ן בַּלַּ֣יְלָה הַה֑וּא ,בַּלַּ֣יְלָה הַה֑וּא ,Time
9946,452440,Judges 10:8,clause_x,וַֽיִּרְעֲצ֤וּ וַיְרֹֽצְצוּ֙ אֶת־בְּנֵ֣י יִשְׂרָאֵ֔ל בַּשָּׁנָ֖ה הַהִ֑יא שְׁמֹנֶ֨ה עֶשְׂרֵ֜ה שָׁנָ֗ה אֶֽת־כָּל־בְּנֵ֤י יִשְׂרָאֵל֙ אֲשֶׁר֙ בְּעֵ֣בֶר הַיַּרְדֵּ֔ן בְּאֶ֥רֶץ הָאֱמֹרִ֖י אֲשֶׁ֥ר בַּגִּלְעָֽד׃ ,וַיְרֹֽצְצוּ֙ אֶת־בְּנֵ֣י יִשְׂרָאֵ֔ל בַּשָּׁנָ֖ה הַהִ֑יא ,בַּשָּׁנָ֖ה הַהִ֑יא ,Time
9986,452588,Judges 11:26,clause_x,בְּשֶׁ֣בֶת יִ֠שְׂרָאֵל בְּחֶשְׁבֹּ֨ון וּבִבְנֹותֶ֜יהָ וּבְעַרְעֹ֣ור וּבִבְנֹותֶ֗יהָ וּבְכָל־הֶֽעָרִים֙ אֲשֶׁר֙ עַל־יְדֵ֣י אַרְנֹ֔ון שְׁלֹ֥שׁ מֵאֹ֖ות שָׁנָ֑ה וּמַדּ֥וּעַ לֹֽא־הִצַּלְתֶּ֖ם בָּעֵ֥ת הַהִֽיא׃ ,וּמַדּ֥וּעַ לֹֽא־הִצַּלְתֶּ֖ם בָּעֵ֥ת הַהִֽיא׃ ,בָּעֵ֥ת הַהִֽיא׃ ,Time
10074,452934,Judges 14:18,clause_x,וַיֹּ֣אמְרוּ לֹו֩ אַנְשֵׁ֨י הָעִ֜יר בַּיֹּ֣ום הַשְּׁבִיעִ֗י בְּטֶ֨רֶם֙ יָבֹ֣א הַחַ֔רְסָה מַה־מָּתֹ֣וק מִדְּבַ֔שׁ וּמֶ֥ה עַ֖ז מֵאֲרִ֑י וַיֹּ֣אמֶר לָהֶ֔ם לוּלֵא֙ חֲרַשְׁתֶּ֣ם בְּעֶגְלָתִ֔י לֹ֥א מְצָאתֶ֖ם חִידָתִֽי׃ ,וַיֹּ֣אמְרוּ לֹו֩ אַנְשֵׁ֨י הָעִ֜יר בַּיֹּ֣ום הַשְּׁבִיעִ֗י ,בַּיֹּ֣ום הַשְּׁבִיעִ֗י ,Time
10261,453726,Judges 20:22,clause_x,וַיִּתְחַזֵּ֥ק הָעָ֖ם אִ֣ישׁ יִשְׂרָאֵ֑ל וַיֹּסִ֨פוּ֙ לַעֲרֹ֣ךְ מִלְחָמָ֔ה בַּמָּקֹ֕ום אֲשֶׁר־עָ֥רְכוּ שָׁ֖ם בַּיֹּ֥ום הָרִאשֹֽׁון׃ ,אֲשֶׁר־עָ֥רְכוּ שָׁ֖ם בַּיֹּ֥ום הָרִאשֹֽׁון׃ ,בַּיֹּ֥ום הָרִאשֹֽׁון׃ ,Time
10264,453735,Judges 20:24,clause_x,וַיִּקְרְב֧וּ בְנֵֽי־יִשְׂרָאֵ֛ל אֶל־בְּנֵ֥י בִנְיָמִ֖ן בַּיֹּ֥ום הַשֵּׁנִֽי׃ ,וַיִּקְרְב֧וּ בְנֵֽי־יִשְׂרָאֵ֛ל אֶל־בְּנֵ֥י בִנְיָמִ֖ן בַּיֹּ֥ום הַשֵּׁנִֽי׃ ,בַּיֹּ֥ום הַשֵּׁנִֽי׃ ,Time
10267,453757,Judges 20:30,clause_x,וַיַּעֲל֧וּ בְנֵֽי־יִשְׂרָאֵ֛ל אֶל־בְּנֵ֥י בִנְיָמִ֖ן בַּיֹּ֣ום הַשְּׁלִישִׁ֑י וַיַּעַרְכ֥וּ אֶל־הַגִּבְעָ֖ה כְּפַ֥עַם בְּפָֽעַם׃ ,וַיַּעֲל֧וּ בְנֵֽי־יִשְׂרָאֵ֛ל אֶל־בְּנֵ֥י בִנְיָמִ֖ן בַּיֹּ֣ום הַשְּׁלִישִׁ֑י ,בַּיֹּ֣ום הַשְּׁלִישִׁ֑י ,Time
10301,453887,Judges 21:14,clause_x,וַיָּ֤שָׁב בִּנְיָמִן֙ בָּעֵ֣ת הַהִ֔יא וַיִּתְּנ֤וּ לָהֶם֙ הַנָּשִׁ֔ים אֲשֶׁ֣ר חִיּ֔וּ מִנְּשֵׁ֖י יָבֵ֣שׁ גִּלְעָ֑ד וְלֹֽא־מָצְא֥וּ לָהֶ֖ם כֵּֽן׃ ,וַיָּ֤שָׁב בִּנְיָמִן֙ בָּעֵ֣ת הַהִ֔יא ,בָּעֵ֣ת הַהִ֔יא ,Time
10316,453935,Judges 21:24,clause_x,וַיִּתְהַלְּכ֨וּ מִשָּׁ֤ם בְּנֵֽי־יִשְׂרָאֵל֙ בָּעֵ֣ת הַהִ֔יא אִ֥ישׁ לְשִׁבְטֹ֖ו וּלְמִשְׁפַּחְתֹּ֑ו וַיֵּצְא֣וּ מִשָּׁ֔ם אִ֖ישׁ לְנַחֲלָתֹֽו׃ ,וַיִּתְהַלְּכ֨וּ מִשָּׁ֤ם בְּנֵֽי־יִשְׂרָאֵל֙ בָּעֵ֣ת הַהִ֔יא ,בָּעֵ֣ת הַהִ֔יא ,Time
10588,455145,1_Samuel 11:13,clause_x,וַיֹּ֣אמֶר שָׁא֔וּל לֹֽא־יוּמַ֥ת אִ֖ישׁ בַּיֹּ֣ום הַזֶּ֑ה כִּ֥י הַיֹּ֛ום עָשָֽׂה־יְהוָ֥ה תְּשׁוּעָ֖ה בְּיִשְׂרָאֵֽל׃ ס ,לֹֽא־יוּמַ֥ת אִ֖ישׁ בַּיֹּ֣ום הַזֶּ֑ה ,בַּיֹּ֣ום הַזֶּ֑ה ,Time
11093,457692,1_Samuel 28:25,clause_x,וַתַּגֵּ֧שׁ לִפְנֵֽי־שָׁא֛וּל וְלִפְנֵ֥י עֲבָדָ֖יו וַיֹּאכֵ֑לוּ וַיָּקֻ֥מוּ וַיֵּלְכ֖וּ בַּלַּ֥יְלָה הַהֽוּא׃ פ ,וַיֵּלְכ֖וּ בַּלַּ֥יְלָה הַהֽוּא׃ פ ,בַּלַּ֥יְלָה הַהֽוּא׃ פ ,Time
11592,459960,2_Samuel 16:23,clause_x,וַעֲצַ֣ת אֲחִיתֹ֗פֶל אֲשֶׁ֤ר יָעַץ֙ בַּיָּמִ֣ים הָהֵ֔ם כַּאֲשֶׁ֥ר יִשְׁאַל־אִ֖ישׁ בִּדְבַ֣ר הָאֱלֹהִ֑ים כֵּ֚ן כָּל־עֲצַ֣ת אֲחִיתֹ֔פֶל גַּם־לְדָוִ֖ד גַּ֥ם לְאַבְשָׁלֹֽם׃ ס ,אֲשֶׁ֤ר יָעַץ֙ בַּיָּמִ֣ים הָהֵ֔ם ,בַּיָּמִ֣ים הָהֵ֔ם ,Time
12252,462903,1_Kings 12:12,clause_x,וַיָּבֹ֨וא יָרָבְעָ֧ם וְכָל־הָעָ֛ם אֶל־רְחַבְעָ֖ם בַּיֹּ֣ום הַשְּׁלִישִׁ֑י כַּאֲשֶׁ֨ר דִּבֶּ֤ר הַמֶּ֨לֶךְ֙ לֵאמֹ֔ר שׁ֥וּבוּ אֵלַ֖י בַּיֹּ֥ום הַשְּׁלִישִֽׁי׃ ,וַיָּבֹ֨וא יָרָבְעָ֧ם וְכָל־הָעָ֛ם אֶל־רְחַבְעָ֖ם בַּיֹּ֣ום הַשְּׁלִישִׁ֑י ,בַּיֹּ֣ום הַשְּׁלִישִׁ֑י ,Time
12816,465717,2_Kings 6:29,clause_x,וַנְּבַשֵּׁ֥ל אֶת־בְּנִ֖י וַנֹּֽאכְלֵ֑הוּ וָאֹמַ֨ר אֵלֶ֜יהָ בַּיֹּ֣ום הָאַחֵ֗ר תְּנִ֤י אֶת־בְּנֵךְ֙ וְנֹ֣אכְלֶ֔נּוּ וַתַּחְבִּ֖א אֶת־בְּנָֽהּ׃ ,וָאֹמַ֨ר אֵלֶ֜יהָ בַּיֹּ֣ום הָאַחֵ֗ר ,בַּיֹּ֣ום הָאַחֵ֗ר ,Time
12883,466014,2_Kings 8:22,clause_x,וַיִּפְשַׁ֣ע אֱדֹ֗ום מִתַּ֨חַת֙ יַד־יְהוּדָ֔ה עַ֖ד הַיֹּ֣ום הַזֶּ֑ה אָ֛ז תִּפְשַׁ֥ע לִבְנָ֖ה בָּעֵ֥ת הַהִֽיא׃ ,אָ֛ז תִּפְשַׁ֥ע לִבְנָ֖ה בָּעֵ֥ת הַהִֽיא׃ ,בָּעֵ֥ת הַהִֽיא׃ ,Time
