,cl_node,ref,clause_type,verse_text,cl_text,target_ph,xphrase_function
5195,430165,Genesis 26:24,clause_x,וַיֵּרָ֨א אֵלָ֤יו יְהוָה֙ בַּלַּ֣יְלָה הַה֔וּא וַיֹּ֕אמֶר אָנֹכִ֕י אֱלֹהֵ֖י אַבְרָהָ֣ם אָבִ֑יךָ אַל־תִּירָא֙ כִּֽי־אִתְּךָ֣ אָנֹ֔כִי וּבֵֽרַכְתִּ֨יךָ֙ וְהִרְבֵּיתִ֣י אֶֽת־זַרְעֲךָ֔ בַּעֲב֖וּר אַבְרָהָ֥ם עַבְדִּֽי׃ ,וַיֵּרָ֨א אֵלָ֤יו יְהוָה֙ בַּלַּ֣יְלָה הַה֔וּא ,בַּלַּ֣יְלָה הַה֔וּא ,Time
5345,430938,Genesis 31:22,clause_x,וַיֻּגַּ֥ד לְלָבָ֖ן בַּיֹּ֣ום הַשְּׁלִישִׁ֑י כִּ֥י בָרַ֖ח יַעֲקֹֽב׃ ,וַיֻּגַּ֥ד לְלָבָ֖ן בַּיֹּ֣ום הַשְּׁלִישִׁ֑י ,בַּיֹּ֣ום הַשְּׁלִישִׁ֑י ,Time
5386,431137,Genesis 32:14,clause_x,וַיָּ֥לֶן שָׁ֖ם בַּלַּ֣יְלָה הַה֑וּא וַיִּקַּ֞ח מִן־הַבָּ֧א בְיָדֹ֛ו מִנְחָ֖ה לְעֵשָׂ֥ו אָחִֽיו׃ ,וַיָּ֥לֶן שָׁ֖ם בַּלַּ֣יְלָה הַה֑וּא ,בַּלַּ֣יְלָה הַה֑וּא ,Time
5625,432419,Genesis 42:18,clause_x,וַיֹּ֨אמֶר אֲלֵהֶ֤ם יֹוסֵף֙ בַּיֹּ֣ום הַשְּׁלִישִׁ֔י זֹ֥את עֲשׂ֖וּ וִֽחְי֑וּ אֶת־הָאֱלֹהִ֖ים אֲנִ֥י יָרֵֽא׃ ,וַיֹּ֨אמֶר אֲלֵהֶ֤ם יֹוסֵף֙ בַּיֹּ֣ום הַשְּׁלִישִׁ֔י ,בַּיֹּ֣ום הַשְּׁלִישִׁ֔י ,Time
5758,433140,Genesis 47:17,clause_x,וַיָּבִ֣יאוּ אֶת־מִקְנֵיהֶם֮ אֶל־יֹוסֵף֒ וַיִּתֵּ֣ן לָהֶם֩ יֹוסֵ֨ף לֶ֜חֶם בַּסּוּסִ֗ים וּבְמִקְנֵ֥ה הַצֹּ֛אן וּבְמִקְנֵ֥ה הַבָּקָ֖ר וּבַחֲמֹרִ֑ים וַיְנַהֲלֵ֤ם בַּלֶּ֨חֶם֙ בְּכָל־מִקְנֵהֶ֔ם בַּשָּׁנָ֖ה הַהִֽוא׃ ,וַיְנַהֲלֵ֤ם בַּלֶּ֨חֶם֙ בְּכָל־מִקְנֵהֶ֔ם בַּשָּׁנָ֖ה הַהִֽוא׃ ,בַּשָּׁנָ֖ה הַהִֽוא׃ ,Time
5760,433142,Genesis 47:18,clause_x,וַתִּתֹּם֮ הַשָּׁנָ֣ה הַהִוא֒ וַיָּבֹ֨אוּ אֵלָ֜יו בַּשָּׁנָ֣ה הַשֵּׁנִ֗ית וַיֹּ֤אמְרוּ לֹו֙ לֹֽא־נְכַחֵ֣ד מֵֽאֲדֹנִ֔י כִּ֚י אִם־תַּ֣ם הַכֶּ֔סֶף וּמִקְנֵ֥ה הַבְּהֵמָ֖ה אֶל־אֲדֹנִ֑י לֹ֤א נִשְׁאַר֙ לִפְנֵ֣י אֲדֹנִ֔י בִּלְתִּ֥י אִם־גְּוִיָּתֵ֖נוּ וְאַדְמָתֵֽנוּ׃ ,וַיָּבֹ֨אוּ אֵלָ֜יו בַּשָּׁנָ֣ה הַשֵּׁנִ֗ית ,בַּשָּׁנָ֣ה הַשֵּׁנִ֗ית ,Time
5881,433670,Exodus 2:13,clause_x,וַיֵּצֵא֙ בַּיֹּ֣ום הַשֵּׁנִ֔י וְהִנֵּ֛ה שְׁנֵֽי־אֲנָשִׁ֥ים עִבְרִ֖ים נִצִּ֑ים וַיֹּ֨אמֶר֙ לָֽרָשָׁ֔ע לָ֥מָּה תַכֶּ֖ה רֵעֶֽךָ׃ ,וַיֵּצֵא֙ בַּיֹּ֣ום הַשֵּׁנִ֔י ,בַּיֹּ֣ום הַשֵּׁנִ֔י ,Time
6119,434772,Exodus 12:12,clause_x,וְעָבַרְתִּ֣י בְאֶֽרֶץ־מִצְרַיִם֮ בַּלַּ֣יְלָה הַזֶּה֒ וְהִכֵּיתִ֤י כָל־בְּכֹור֙ בְּאֶ֣רֶץ מִצְרַ֔יִם מֵאָדָ֖ם וְעַד־בְּהֵמָ֑ה וּבְכָל־אֱלֹהֵ֥י מִצְרַ֛יִם אֶֽעֱשֶׂ֥ה שְׁפָטִ֖ים אֲנִ֥י יְהוָֽה׃ ,וְעָבַרְתִּ֣י בְאֶֽרֶץ־מִצְרַיִם֮ בַּלַּ֣יְלָה הַזֶּה֒ ,בַּלַּ֣יְלָה הַזֶּה֒ ,Time
6144,434936,Exodus 13:5,clause_x,וְהָיָ֣ה כִֽי־יְבִֽיאֲךָ֣ יְהוָ֡ה אֶל־אֶ֣רֶץ הַֽ֠כְּנַעֲנִי וְהַחִתִּ֨י וְהָאֱמֹרִ֜י וְהַחִוִּ֣י וְהַיְבוּסִ֗י אֲשֶׁ֨ר נִשְׁבַּ֤ע לַאֲבֹתֶ֨יךָ֙ לָ֣תֶת לָ֔ךְ אֶ֛רֶץ זָבַ֥ת חָלָ֖ב וּדְבָ֑שׁ וְעָבַדְתָּ֛ אֶת־הָעֲבֹדָ֥ה הַזֹּ֖את בַּחֹ֥דֶשׁ הַזֶּֽה׃ ,וְעָבַדְתָּ֛ אֶת־הָעֲבֹדָ֥ה הַזֹּ֖את בַּחֹ֥דֶשׁ הַזֶּֽה׃ ,בַּחֹ֥דֶשׁ הַזֶּֽה׃ ,Time
6232,435382,Exodus 16:29,clause_x,רְא֗וּ כִּֽי־יְהוָה֮ נָתַ֣ן לָכֶ֣ם הַשַּׁבָּת֒ עַל־כֵּ֠ן ה֣וּא נֹתֵ֥ן לָכֶ֛ם בַּיֹּ֥ום הַשִּׁשִּׁ֖י לֶ֣חֶם יֹומָ֑יִם שְׁב֣וּ׀ אִ֣ישׁ תַּחְתָּ֗יו אַל־יֵ֥צֵא אִ֛ישׁ מִמְּקֹמֹ֖ו בַּיֹּ֥ום הַשְּׁבִיעִֽי׃ ,אַל־יֵ֥צֵא אִ֛ישׁ מִמְּקֹמֹ֖ו בַּיֹּ֥ום הַשְּׁבִיעִֽי׃ ,בַּיֹּ֥ום הַשְּׁבִיעִֽי׃ ,Time
6233,435383,Exodus 16:30,clause_x,וַיִּשְׁבְּת֥וּ הָעָ֖ם בַּיֹּ֥ום הַשְּׁבִעִֽי׃ ,וַיִּשְׁבְּת֥וּ הָעָ֖ם בַּיֹּ֥ום הַשְּׁבִעִֽי׃ ,בַּיֹּ֥ום הַשְּׁבִעִֽי׃ ,Time
6994,438595,Leviticus 8:34,clause_x,כַּאֲשֶׁ֥ר עָשָׂ֖ה בַּיֹּ֣ום הַזֶּ֑ה צִוָּ֧ה יְהוָ֛ה לַעֲשֹׂ֖ת לְכַפֵּ֥ר עֲלֵיכֶֽם׃ ,כַּאֲשֶׁ֥ר עָשָׂ֖ה בַּיֹּ֣ום הַזֶּ֑ה ,בַּיֹּ֣ום הַזֶּ֑ה ,Time
7834,442354,Numbers 14:1,clause_x,וַתִּשָּׂא֙ כָּל־הָ֣עֵדָ֔ה וַֽיִּתְּנ֖וּ אֶת־קֹולָ֑ם וַיִּבְכּ֥וּ הָעָ֖ם בַּלַּ֥יְלָה הַהֽוּא׃ ,וַיִּבְכּ֥וּ הָעָ֖ם בַּלַּ֥יְלָה הַהֽוּא׃ ,בַּלַּ֥יְלָה הַהֽוּא׃ ,Time
7979,443078,Numbers 20:1,clause_x,וַיָּבֹ֣אוּ בְנֵֽי־יִ֠שְׂרָאֵל כָּל־הָ֨עֵדָ֤ה מִדְבַּר־צִן֙ בַּחֹ֣דֶשׁ הָֽרִאשֹׁ֔ון וַיֵּ֥שֶׁב הָעָ֖ם בְּקָדֵ֑שׁ וַתָּ֤מָת שָׁם֙ מִרְיָ֔ם וַתִּקָּבֵ֖ר שָֽׁם׃ ,וַיָּבֹ֣אוּ בְנֵֽי־יִ֠שְׂרָאֵל כָּל־הָ֨עֵדָ֤ה מִדְבַּר־צִן֙ בַּחֹ֣דֶשׁ הָֽרִאשֹׁ֔ון ,בַּחֹ֣דֶשׁ הָֽרִאשֹׁ֔ון ,Time
