node,verse,book,booksuper,canon_part,period,times_etcbc,times_utf8,times_utf8d,times_POS,TA Heads,head_utf8,funct_type,function,quality,name,text,n_times,lex_token,is_advb,tense,firstw,genre,domain,gendom,clause,sentence,cl_rela,cl_type,cl_kind,verb,verb_etcbc,verb_utf8,verb_text,verbform,verb_stem,cl_args,has_objc,has_cmpl,has_subj,has_oc,Time Position,cl_type2,cl_nsuccs,cl_clust50,cl_clust10,verbtense,vt_order,PP,unmodified,modtag,modtag2,front,ph_type,has_time,notes,main_genre,APPO,DEF,ORDN,ØPP,GP,QUANT,PL,NUM,PARA,DEMON,demon_type,ADJV,TIMEAPPO,SPEC,SFX3,SFX,DU,SFX1,SFX2,ADVB,CARDC
488730,Zephaniah 3:9,Zephaniah,Twelve,Prophets,,>Z,אז,זא,ADVB,	exthebrew{אז},אז,main,simultaneous,location,simultaneous,אָ֛ז ,1,אז,1,,	exthebrew{כי},prophetic,Q,prophetic.Q,כִּֽי־אָ֛ז אֶהְפֹּ֥ךְ אֶל־עַמִּ֖ים שָׂפָ֣ה בְרוּרָ֑ה ,כִּֽי־אָ֛ז אֶהְפֹּ֥ךְ אֶל־עַמִּ֖ים שָׂפָ֣ה בְרוּרָ֑ה לִקְרֹ֤א כֻלָּם֙ בְּשֵׁ֣ם יְהוָ֔ה לְעָבְדֹ֖ו שְׁכֶ֥ם אֶחָֽד׃ ,SubAdv,xYq0,VC,303892.0,HPK[,הפך,אהפך,yqtl,qal,C-T-V-C-O-A,1,1,1,1,preposed,xYq0,1,1222,6116,FUT,TV,0.0,1,,Ø,אז,ADVB,1,,prophecy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488734,Zephaniah 3:11,Zephaniah,Twelve,Prophets,,JWM/,יום,םוי,NOUN,	exthebrew{יום},יום,main,simultaneous,location,simultaneous,בַּיֹּ֣ום ה֗וּא ,1,ב.ה.זמן.הוא,0,FUT,	exthebrew{ב},prophetic,Q,prophetic.Q,בַּיֹּ֣ום הַה֗וּא לֹ֤א תֵבֹ֨ושִׁי֙ מִכֹּ֣ל עֲלִילֹתַ֔יִךְ ,בַּיֹּ֣ום הַה֗וּא לֹ֤א תֵבֹ֨ושִׁי֙ מִכֹּ֣ל עֲלִילֹתַ֔יִךְ אֲשֶׁ֥ר פָּשַׁ֖עַתְּ בִּ֑י ,Main,xYq0,VC,303923.0,BWC[,בושׁ,תבושׁי,yqtl,qal,T-V-C,0,1,1,1,preposed,xYq0,8,1222,6116,MOD shall,TV,1.0,0,DEMON,DEMON,ב,PP,1,,prophecy,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,THAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488736,Zephaniah 3:11,Zephaniah,Twelve,Prophets,,>Z,אז,זא,ADVB,	exthebrew{אז},אז,main,simultaneous,location,simultaneous,אָ֣ז׀ ,1,אז,1,,	exthebrew{כי},prophetic,Q,prophetic.Q,כִּי־אָ֣ז׀ אָסִ֣יר מִקִּרְבֵּ֗ךְ עַלִּיזֵי֙ גַּאֲוָתֵ֔ךְ ,כִּי־אָ֣ז׀ אָסִ֣יר מִקִּרְבֵּ֗ךְ עַלִּיזֵי֙ גַּאֲוָתֵ֔ךְ ,SubAdv,xYq0,VC,303932.0,SWR[,סור,אסיר,yqtl,hif,C-T-V-C-O,1,1,1,1,preposed,xYq0,1,1222,6116,FUT,TV,0.0,1,,Ø,אז,ADVB,1,,prophecy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488758,Zephaniah 3:16,Zephaniah,Twelve,Prophets,,JWM/,יום,םוי,NOUN,	exthebrew{יום},יום,main,simultaneous,location,simultaneous,בַּיֹּ֣ום ה֔וּא ,1,ב.ה.זמן.הוא,0,FUT,	exthebrew{ב},prophetic,Q,prophetic.Q,בַּיֹּ֣ום הַה֔וּא יֵאָמֵ֥ר לִירֽוּשָׁלִַ֖ם ,בַּיֹּ֣ום הַה֔וּא יֵאָמֵ֥ר לִירֽוּשָׁלִַ֖ם ,Main,xYq0,VC,304015.0,>MR[,אמר,יאמר,yqtl,nif,T-V-C,0,1,1,1,preposed,xYq0,9,1223,6119,MOD shall,TV,1.0,0,DEMON,DEMON,ב,PP,1,,prophecy,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,THAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488783,Haggai 1:1,Haggai,Twelve,Prophets,,CNH/|XDC=/|JWM/,שׁנה|חדשׁ|יום,םוי|שדח|הנש,NOUN|NOUN|NOUN,	exthebrew{יום}|	exthebrew{חדש}|	exthebrew{שנה},שׁנה,main,simultaneous,location,cal_simul,בִּשְׁנַ֤ת שְׁתַּ֨יִם֙ לְדָרְיָ֣וֶשׁ בַּחֹ֨דֶשׁ֙ שִּׁשִּׁ֔י בְּיֹ֥ום אֶחָ֖ד לַחֹ֑דֶשׁ ,3,ב.מ׳.זמן,0,,	exthebrew{ב},prophetic,?,prophetic.?,בִּשְׁנַ֤ת שְׁתַּ֨יִם֙ לְדָרְיָ֣וֶשׁ הַמֶּ֔לֶךְ בַּחֹ֨דֶשׁ֙ הַשִּׁשִּׁ֔י בְּיֹ֥ום אֶחָ֖ד לַחֹ֑דֶשׁ הָיָ֨ה דְבַר־יְהוָ֜ה בְּיַד־חַגַּ֣י הַנָּבִ֗יא אֶל־זְרֻבָּבֶ֤ל בֶּן־שְׁאַלְתִּיאֵל֙ פַּחַ֣ת יְהוּדָ֔ה וְאֶל־יְהֹושֻׁ֧עַ בֶּן־יְהֹוצָדָ֛ק הַכֹּהֵ֥ן הַגָּדֹ֖ול ,בִּשְׁנַ֤ת שְׁתַּ֨יִם֙ לְדָרְיָ֣וֶשׁ הַמֶּ֔לֶךְ בַּחֹ֨דֶשׁ֙ הַשִּׁשִּׁ֔י בְּיֹ֥ום אֶחָ֖ד לַחֹ֑דֶשׁ הָיָ֨ה דְבַר־יְהוָ֜ה בְּיַד־חַגַּ֣י הַנָּבִ֗יא אֶל־זְרֻבָּבֶ֤ל בֶּן־שְׁאַלְתִּיאֵל֙ פַּחַ֣ת יְהוּדָ֔ה וְאֶל־יְהֹושֻׁ֧עַ בֶּן־יְהֹוצָדָ֛ק הַכֹּהֵ֥ן הַגָּדֹ֖ול לֵאמֹֽר׃ ,Main,xQtX,VC,304133.0,HJH[,היה,היה,qtl,qal,T-V-S-A-PrC-A,0,1,1,1,preposed,xQtX,48,1224,6122,PAST,TV,1.0,0,C,C,ב,PP,1,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488795,Haggai 1:5,Haggai,Twelve,Prophets,,<TH,עתה,התע,ADVB,	exthebrew{עתה},עתה,main,simultaneous,location,simultaneous,עַתָּ֕ה ,1,עתה,1,PRES,	exthebrew{ו},prophetic,N,prophetic.N,וְעַתָּ֕ה ,וְעַתָּ֕ה ,Main,MSyn,WP,,,,,Ø,,W-T,0,0,0,0,final,MSyn,32,1224,6123,,,0.0,1,,Ø,עתה,ADVB,1,,prophecy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488844,Haggai 1:15,Haggai,Twelve,Prophets,,JWM/|CCJ/|CNH/,יום|שׁשׁי|שׁנה,הנש|ישש|םוי,NOUN|ORDN|NOUN,	exthebrew{שנה}|	exthebrew{ששי}|	exthebrew{יום},יום,main,simultaneous,location,cal_simul,בְּיֹ֨ום עֶשְׂרִ֧ים וְאַרְבָּעָ֛ה לַחֹ֖דֶשׁ בַּשִּׁשִּׁ֑י בִּשְׁנַ֥ת שְׁתַּ֖יִם לְדָרְיָ֥וֶשׁ ,3,ב.מ׳.זמן.ס׳,0,,	exthebrew{ב},prophetic,N,prophetic.N,בְּיֹ֨ום עֶשְׂרִ֧ים וְאַרְבָּעָ֛ה לַחֹ֖דֶשׁ בַּשִּׁשִּׁ֑י בִּשְׁנַ֥ת שְׁתַּ֖יִם לְדָרְיָ֥וֶשׁ הַמֶּֽלֶךְ׃ ,וַיַּעֲשׂ֣וּ מְלָאכָ֔ה בְּבֵית־יְהוָ֥ה צְבָאֹ֖ות אֱלֹהֵיהֶֽם׃ פ בְּיֹ֨ום עֶשְׂרִ֧ים וְאַרְבָּעָ֛ה לַחֹ֖דֶשׁ בַּשִּׁשִּׁ֑י בִּשְׁנַ֥ת שְׁתַּ֖יִם לְדָרְיָ֥וֶשׁ הַמֶּֽלֶךְ׃ ,Main,Ellp,WP,,,,,Ø,,T,0,0,0,0,final,Ellp,0,1225,6128,,,1.0,0,C,C,ב,PP,1,!clause,prophecy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488845,Haggai 2:1,Haggai,Twelve,Prophets,,CBJ<J/|<FRJM/,שׁביעי|עשׂרים,םירשע|יעיבש,ORDN|CARD,	exthebrew{עשרים}|	exthebrew{שביעי},שׁביעי,main,simultaneous,location,cal_simul,בַּשְּׁבִיעִ֕י בְּעֶשְׂרִ֥ים וְאֶחָ֖ד לַחֹ֑דֶשׁ ,2,ב.ה.מ׳.זמן,0,,	exthebrew{ב},prophetic,?,prophetic.?,בַּשְּׁבִיעִ֕י בְּעֶשְׂרִ֥ים וְאֶחָ֖ד לַחֹ֑דֶשׁ הָיָה֙ דְּבַר־יְהוָ֔ה בְּיַד־חַגַּ֥י הַנָּבִ֖יא ,בַּשְּׁבִיעִ֕י בְּעֶשְׂרִ֥ים וְאֶחָ֖ד לַחֹ֑דֶשׁ הָיָה֙ דְּבַר־יְהוָ֔ה בְּיַד־חַגַּ֥י הַנָּבִ֖יא לֵאמֹֽר׃ ,Main,xQtX,VC,304471.0,HJH[,היה,היה,qtl,qal,T-V-S-A-A,0,0,0,0,preposed,xQtX,80,1225,6128,PAST,TV,1.0,0,DEF,DEF,ב,PP,1,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488851,Haggai 2:3,Haggai,Twelve,Prophets,,<TH,עתה,התע,ADVB,	exthebrew{עתה},עתה,main,simultaneous,location,simultaneous,עַ֔תָּה ,1,עתה,1,PRES,	exthebrew{ו},prophetic,Q,prophetic.Q,וּמָ֨ה אַתֶּ֜ם רֹאִ֤ים אֹתֹו֙ עַ֔תָּה ,וּמָ֨ה אַתֶּ֜ם רֹאִ֤ים אֹתֹו֙ עַ֔תָּה ,Main,Ptcp,VC,304523.0,R>H[,ראה,ראים,ptcp,qal,W-Q-S-V-O-T,1,0,0,1,final,Ptcp,0,1225,6128,PRES,VT,0.0,1,,Ø,עתה,ADVB,1,,prophecy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488853,Haggai 2:4,Haggai,Twelve,Prophets,,<TH,עתה,התע,ADVB,	exthebrew{עתה},עתה,main,simultaneous,location,simultaneous,עַתָּ֣ה ,1,עתה,1,PRES,	exthebrew{ו},prophetic,Q,prophetic.Q,וְעַתָּ֣ה ,וְעַתָּ֣ה ,Main,MSyn,WP,,,,,Ø,,W-T,0,0,0,0,final,MSyn,24,1225,6129,,,0.0,1,,Ø,עתה,ADVB,1,,prophecy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
