token,(n)heads_token,freq,mark,note,ex_ref,ex,ex_node,ex_verse
אז,אז,68,,,Proverbs 2:9,אָ֗ז ,861600,אָ֗ז תָּ֭בִין צֶ֣דֶק וּמִשְׁפָּ֑ט וּ֝מֵישָׁרִ֗ים כָּל־מַעְגַּל־טֹֽוב׃ 
אחר,אחר,34,,,Ezekiel 20:39,אַחַ֕ר ,813031,וְאַתֶּ֨ם בֵּֽית־יִשְׂרָאֵ֜ל כֹּֽה־אָמַ֣ר׀ אֲדֹנָ֣י יְהֹוִ֗ה אִ֤ישׁ גִּלּוּלָיו֙ לְכ֣וּ עֲבֹ֔דוּ וְאַחַ֕ר אִם־אֵינְכֶ֖ם שֹׁמְעִ֣ים אֵלָ֑י וְאֶת־שֵׁ֤ם קָדְשִׁי֙ לֹ֣א תְחַלְּלוּ־עֹ֔וד בְּמַתְּנֹֽותֵיכֶ֖ם וּבְגִלּוּלֵיכֶֽם׃ 
אחר.דברי,אחר,1,,,Job 21:3,אַחַ֖ר דַּבְּרִ֣י ,857009,שָׂ֭אוּנִי וְאָנֹכִ֣י אֲדַבֵּ֑ר וְאַחַ֖ר דַּבְּרִ֣י תַלְעִֽיג׃ 
אחר.ה.דברים.ה.אלה,אחר,8,,,Esther 2:1,אַחַר֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה ,874160,אַחַר֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה כְּשֹׁ֕ךְ חֲמַ֖ת הַמֶּ֣לֶךְ אֲחַשְׁוֵרֹ֑ושׁ זָכַ֤ר אֶת־וַשְׁתִּי֙ וְאֵ֣ת אֲשֶׁר־עָשָׂ֔תָה וְאֵ֥ת אֲשֶׁר־נִגְזַ֖ר עָלֶֽיהָ׃ 
אחר.ה.יבל,אחר,1,,,Leviticus 27:18,אַחַ֣ר הַיֹּבֵל֮ ,692187,וְאִם־אַחַ֣ר הַיֹּבֵל֮ יַקְדִּ֣ישׁ שָׂדֵהוּ֒ וְחִשַּׁב־לֹ֨ו הַכֹּהֵ֜ן אֶת־הַכֶּ֗סֶף עַל־פִּ֤י הַשָּׁנִים֙ הַנֹּ֣ותָרֹ֔ת עַ֖ד שְׁנַ֣ת הַיֹּבֵ֑ל וְנִגְרַ֖ע מֵֽעֶרְכֶּֽךָ׃ 
אחר.זה,אחר,1,,,2_Chronicles 32:9,אַ֣חַר זֶ֗ה ,903093,אַ֣חַר זֶ֗ה שָׁ֠לַח סַנְחֵרִ֨יב מֶֽלֶךְ־אַשּׁ֤וּר עֲבָדָיו֙ יְר֣וּשָׁלַ֔יְמָה וְהוּא֙ עַל־לָכִ֔ישׁ וְכָל־מֶמְשַׁלְתֹּ֖ו עִמֹּ֑ו עַל־יְחִזְקִיָּ֨הוּ֙ מֶ֣לֶךְ יְהוּדָ֔ה וְעַל־כָּל־יְהוּדָ֛ה אֲשֶׁ֥ר בִּירוּשָׁלִַ֖ם לֵאמֹֽר׃ 
אחר.כן,אחר,2,,,1_Samuel 10:5,אַ֣חַר כֵּ֗ן ,734686,אַ֣חַר כֵּ֗ן תָּבֹוא֙ גִּבְעַ֣ת הָאֱלֹהִ֔ים אֲשֶׁר־שָׁ֖ם נְצִבֵ֣י פְלִשְׁתִּ֑ים וִיהִי֩ כְבֹאֲךָ֨ שָׁ֜ם הָעִ֗יר וּפָגַעְתָּ֞ חֶ֤בֶל נְבִיאִים֙ יֹרְדִ֣ים מֵֽהַבָּמָ֔ה וְלִפְנֵיהֶ֞ם נֵ֤בֶל וְתֹף֙ וְחָלִ֣יל וְכִנֹּ֔ור וְהֵ֖מָּה מִֽתְנַבְּאִֽים׃ 
אחר.מות.חצרון.ב.כלב.אפרתה,אחר,1,,,1_Chronicles 2:24,אַחַ֥ר מֹות־חֶצְרֹ֖ון בְּכָלֵ֣ב אֶפְרָ֑תָה ,887795,וְאַחַ֥ר מֹות־חֶצְרֹ֖ון בְּכָלֵ֣ב אֶפְרָ֑תָה וְאֵ֤שֶׁת חֶצְרֹון֙ אֲבִיָּ֔ה וַתֵּ֣לֶד לֹ֔ו אֶת־אַשְׁח֖וּר אֲבִ֥י תְקֹֽועַ׃ 
אחר.שׁלוחיה,אחר,1,,,Exodus 18:2,אַחַ֖ר שִׁלּוּחֶֽיהָ׃ ,675413,וַיִּקַּ֗ח יִתְרֹו֙ חֹתֵ֣ן מֹשֶׁ֔ה אֶת־צִפֹּרָ֖ה אֵ֣שֶׁת מֹשֶׁ֑ה אַחַ֖ר שִׁלּוּחֶֽיהָ׃ 
אחרון,אחרון,1,,,Job 19:25,אַחֲרֹ֗ון ,856755,וַאֲנִ֣י יָ֭דַעְתִּי גֹּ֣אֲלִי חָ֑י וְ֝אַחֲרֹ֗ון עַל־עָפָ֥ר יָקֽוּם׃ 
אחרי,אחרי,4,,,Proverbs 28:23,אַ֭חֲרַי ,866798,מֹ֘וכִ֤יחַ אָדָ֣ם אַ֭חֲרַי חֵ֣ן יִמְצָ֑א מִֽמַּחֲלִ֥יק לָשֹֽׁון׃ 
אחרי.ה.דברים.ה.אלה,אחרי,3,,,Genesis 48:1,אַחֲרֵי֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה ,668576,וַיְהִ֗י אַחֲרֵי֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה וַיֹּ֣אמֶר לְיֹוסֵ֔ף הִנֵּ֥ה אָבִ֖יךָ חֹלֶ֑ה וַיִּקַּ֞ח אֶת־שְׁנֵ֤י בָנָיו֙ עִמֹּ֔ו אֶת־מְנַשֶּׁ֖ה וְאֶת־אֶפְרָֽיִם׃ 
אחרי.ה.דברים.ו.ה.אמת.ה.אלה,אחרי,1,,,2_Chronicles 32:1,אַחֲרֵ֨י הַדְּבָרִ֤ים וְהָאֱמֶת֙ הָאֵ֔לֶּה ,902986,אַחֲרֵ֨י הַדְּבָרִ֤ים וְהָאֱמֶת֙ הָאֵ֔לֶּה בָּ֖א סַנְחֵרִ֣יב מֶֽלֶךְ־אַשּׁ֑וּר וַיָּבֹ֣א בִֽיהוּדָ֗ה וַיִּ֨חַן֙ עַל־הֶעָרִ֣ים הַבְּצֻרֹ֔ות וַיֹּ֖אמֶר לְבִקְעָ֥ם אֵלָֽיו׃ 
אחרי.ה.ימים.ה.הם,אחרי,1,,,Jeremiah 31:33,אַחֲרֵ֨י הַיָּמִ֤ים הָהֵם֙ ,799270,כִּ֣י זֹ֣את הַבְּרִ֡ית אֲשֶׁ֣ר אֶכְרֹת֩ אֶת־בֵּ֨ית יִשְׂרָאֵ֜ל אַחֲרֵ֨י הַיָּמִ֤ים הָהֵם֙ נְאֻם־יְהוָ֔ה נָתַ֤תִּי אֶת־תֹּֽורָתִי֙ בְּקִרְבָּ֔ם וְעַל־לִבָּ֖ם אֶכְתֲּבֶ֑נָּה וְהָיִ֤יתִי לָהֶם֙ לֵֽאלֹהִ֔ים וְהֵ֖מָּה יִֽהְיוּ־לִ֥י לְעָֽם׃ 
אחרי.ה.מגפה,אחרי,1,,,Numbers 25:19,אַחֲרֵ֣י הַמַּגֵּפָ֑ה׃ פ ,700987,וַיְהִ֖י אַחֲרֵ֣י הַמַּגֵּפָ֑ה׃ פ 
אחרי.ה.שׁבעים.שׁשׁים.ו.שׁנים,אחרי,1,,,Daniel 9:26,אַחֲרֵ֤י הַשָּׁבֻעִים֙ שִׁשִּׁ֣ים וּשְׁנַ֔יִם ,880181,וְאַחֲרֵ֤י הַשָּׁבֻעִים֙ שִׁשִּׁ֣ים וּשְׁנַ֔יִם יִכָּרֵ֥ת מָשִׁ֖יחַ וְאֵ֣ין לֹ֑ו וְהָעִ֨יר וְהַקֹּ֜דֶשׁ יַ֠שְׁחִית עַ֣ם נָגִ֤יד הַבָּא֙ וְקִצֹּ֣ו בַשֶּׁ֔טֶף וְעַד֙ קֵ֣ץ מִלְחָמָ֔ה נֶחֱרֶ֖צֶת שֹׁמֵמֹֽות׃ 
אחרי.זאת,אחרי,2,,,Ezra 9:10,אַֽחֲרֵי־זֹ֑את ,883271,וְעַתָּ֛ה מַה־נֹּאמַ֥ר אֱלֹהֵ֖ינוּ אַֽחֲרֵי־זֹ֑את כִּ֥י עָזַ֖בְנוּ מִצְוֹתֶֽיךָ׃ 
אחרי.טהרתו,אחרי,2,,,Ezekiel 44:26,אַחֲרֵ֖י טָֽהֳרָתֹ֑ו ,821319,וְאַחֲרֵ֖י טָֽהֳרָתֹ֑ו שִׁבְעַ֥ת יָמִ֖ים יִסְפְּרוּ־לֹֽו׃ 
אחרי.יהושׁע,אחרי,1,,,Joshua 24:31,אַחֲרֵ֣י יְהֹושֻׁ֔עַ ,722876,וַיַּעֲבֹ֤ד יִשְׂרָאֵל֙ אֶת־יְהוָ֔ה כֹּ֖ל יְמֵ֣י יְהֹושֻׁ֑עַ וְכֹ֣ל׀ יְמֵ֣י הַזְּקֵנִ֗ים אֲשֶׁ֨ר הֶאֱרִ֤יכוּ יָמִים֙ אַחֲרֵ֣י יְהֹושֻׁ֔עַ וַאֲשֶׁ֣ר יָדְע֗וּ אֵ֚ת כָּל־מַעֲשֵׂ֣ה יְהוָ֔ה אֲשֶׁ֥ר עָשָׂ֖ה לְיִשְׂרָאֵֽל׃ 
