token,(n)heads_token,freq,mark,note,ex_ref,ex,ex_node,ex_verse
אחרי.כל.זאת,אחרי,2,,,2_Chronicles 21:18,אַחֲרֵ֖י כָּל־זֹ֑את ,900039,וְאַחֲרֵ֖י כָּל־זֹ֑את נְגָפֹ֨ו יְהוָ֧ה׀ בְּמֵעָ֛יו לָחֳלִ֖י לְאֵ֥ין מַרְפֵּֽא׃ 
אחרי.כל.רעתך,אחרי,1,,,Ezekiel 16:23,אַחֲרֵ֖י כָּל־רָעָתֵ֑ךְ ,811050,וַיְהִ֕י אַחֲרֵ֖י כָּל־רָעָתֵ֑ךְ אֹ֣וי אֹ֣וי לָ֔ךְ נְאֻ֖ם אֲדֹנָ֥י יְהוִֽה׃ 
אחרי.כן,אחרי,47,,,Ezra 3:5,אַחֲרֵיכֵ֞ן ,881669,וְאַחֲרֵיכֵ֞ן עֹלַ֤ת תָּמִיד֙ וְלֶ֣חֳדָשִׁ֔ים וּלְכָל־מֹועֲדֵ֥י יְהוָ֖ה הַמְקֻדָּשִׁ֑ים וּלְכֹ֛ל מִתְנַדֵּ֥ב נְדָבָ֖ה לַיהוָֽה׃ 
אחרי.מות.אברהם,אחרי,2,,,Genesis 26:18,אַחֲרֵ֖י מֹ֣ות אַבְרָהָ֑ם ,659438,וַיָּ֨שָׁב יִצְחָ֜ק וַיַּחְפֹּ֣ר׀ אֶת־בְּאֵרֹ֣ת הַמַּ֗יִם אֲשֶׁ֤ר חָֽפְרוּ֙ בִּימֵי֙ אַבְרָהָ֣ם אָבִ֔יו וַיְסַתְּמ֣וּם פְּלִשְׁתִּ֔ים אַחֲרֵ֖י מֹ֣ות אַבְרָהָ֑ם וַיִּקְרָ֤א לָהֶן֙ שֵׁמֹ֔ות כַּשֵּׁמֹ֕ת אֲשֶׁר־קָרָ֥א לָהֶ֖ן אָבִֽיו׃ 
אחרי.מות.אחאב,אחרי,1,,,2_Kings 1:1,אַחֲרֵ֖י מֹ֥ות אַחְאָֽב׃ ,764070,וַיִּפְשַׁ֤ע מֹואָב֙ בְּיִשְׂרָאֵ֔ל אַחֲרֵ֖י מֹ֥ות אַחְאָֽב׃ 
אחרי.מות.יהושׁע,אחרי,1,,,Judges 1:1,אַחֲרֵי֙ מֹ֣ות יְהֹושֻׁ֔עַ ,722914,וַיְהִ֗י אַחֲרֵי֙ מֹ֣ות יְהֹושֻׁ֔עַ וַֽיִּשְׁאֲלוּ֙ בְּנֵ֣י יִשְׂרָאֵ֔ל בַּיהוָ֖ה לֵאמֹ֑ר מִ֣י יַעֲלֶה־לָּ֧נוּ אֶל־הַֽכְּנַעֲנִ֛י בַּתְּחִלָּ֖ה לְהִלָּ֥חֶם בֹּֽו׃ 
אחרי.מות.יואשׁ.בן.יהואחז.מלך.ישׂראל,אחרי,1,,,2_Chronicles 25:25,אַחֲרֵ֣י מֹ֔ות יֹואָ֥שׁ בֶּן־יְהֹואָחָ֖ז מֶ֣לֶךְ יִשְׂרָאֵ֑ל ,901275,וַיְחִ֨י אֲמַצְיָ֤הוּ בֶן־יֹואָשׁ֙ מֶ֣לֶךְ יְהוּדָ֔ה אַחֲרֵ֣י מֹ֔ות יֹואָ֥שׁ בֶּן־יְהֹואָחָ֖ז מֶ֣לֶךְ יִשְׂרָאֵ֑ל חֲמֵ֥שׁ עֶשְׂרֵ֖ה שָׁנָֽה׃ 
אחרי.מות.משׁה.עבד.יהוה,אחרי,1,,,Joshua 1:1,אַחֲרֵ֛י מֹ֥ות מֹשֶׁ֖ה עֶ֣בֶד יְהוָ֑ה ,715737,וַיְהִ֗י אַחֲרֵ֛י מֹ֥ות מֹשֶׁ֖ה עֶ֣בֶד יְהוָ֑ה וַיֹּ֤אמֶר יְהוָה֙ אֶל־יְהֹושֻׁ֣עַ בִּן־נ֔וּן מְשָׁרֵ֥ת מֹשֶׁ֖ה לֵאמֹֽר׃ 
אחרי.מותי,אחרי,2,,,Deuteronomy 31:29,אַחֲרֵ֤י מֹותִי֙ ,714765,כִּ֣י יָדַ֗עְתִּי אַחֲרֵ֤י מֹותִי֙ כִּֽי־הַשְׁחֵ֣ת תַּשְׁחִת֔וּן וְסַרְתֶּ֣ם מִן־הַדֶּ֔רֶךְ אֲשֶׁ֥ר צִוִּ֖יתִי אֶתְכֶ֑ם וְקָרָ֨את אֶתְכֶ֤ם הָֽרָעָה֙ בְּאַחֲרִ֣ית הַיָּמִ֔ים כִּֽי־תַעֲשׂ֤וּ אֶת־הָרַע֙ בְּעֵינֵ֣י יְהוָ֔ה לְהַכְעִיסֹ֖ו בְּמַעֲשֵׂ֥ה יְדֵיכֶֽם׃ 
אחריה,אחריה,1,,,2_Chronicles 11:20,אַחֲרֶ֣יהָ ,897487,וְאַחֲרֶ֣יהָ לָקַ֔ח אֶֽת־מַעֲכָ֖ה בַּת־אַבְשָׁלֹ֑ום וַתֵּ֣לֶד לֹ֗ו אֶת־אֲבִיָּה֙ וְאֶת־עַתַּ֔י וְאֶת־זִיזָ֖א וְאֶת־שְׁלֹמִֽית׃ 
אחריהם,אחריהם,2,,,Genesis 48:6,אַחֲרֵיהֶ֖ם ,668648,וּמֹולַדְתְּךָ֛ אֲשֶׁר־הֹולַ֥דְתָּ אַחֲרֵיהֶ֖ם לְךָ֣ יִהְי֑וּ עַ֣ל שֵׁ֧ם אֲחֵיהֶ֛ם יִקָּרְא֖וּ בְּנַחֲלָתָֽם׃ 
אחריהן,אחריהן,2,,,Genesis 41:3,אַחֲרֵיהֶן֙ ,665428,וְהִנֵּ֞ה שֶׁ֧בַע פָּרֹ֣ות אֲחֵרֹ֗ות עֹלֹ֤ות אַחֲרֵיהֶן֙ מִן־הַיְאֹ֔ר רָעֹ֥ות מַרְאֶ֖ה וְדַקֹּ֣ות בָּשָׂ֑ר וַֽתַּעֲמֹ֛דְנָה אֵ֥צֶל הַפָּרֹ֖ות עַל־שְׂפַ֥ת הַיְאֹֽר׃ 
אחריו,אחריו,22,,,Judges 12:8,אַֽחֲרָיו֙ ,727843,וַיִּשְׁפֹּ֤ט אַֽחֲרָיו֙ אֶת־יִשְׂרָאֵ֔ל אִבְצָ֖ן מִבֵּ֥ית לָֽחֶם׃ 
אחריך,אחריך,2,,,1_Kings 3:12,אַחֲרֶ֖יךָ ,754959,הִנֵּ֥ה עָשִׂ֖יתִי כִּדְבָרֶ֑יךָ הִנֵּ֣ה׀ נָתַ֣תִּי לְךָ֗ לֵ֚ב חָכָ֣ם וְנָבֹ֔ון אֲשֶׁ֤ר כָּמֹ֨וךָ֙ לֹא־הָיָ֣ה לְפָנֶ֔יךָ וְאַחֲרֶ֖יךָ לֹא־יָק֥וּם כָּמֹֽוךָ׃ 
אחת.ב.ה.שׁנה,אחת,3,,,Exodus 30:10,אַחַ֖ת בַּשָּׁנָ֑ה ,679379,וְכִפֶּ֤ר אַהֲרֹן֙ עַל־קַרְנֹתָ֔יו אַחַ֖ת בַּשָּׁנָ֑ה מִדַּ֞ם חַטַּ֣את הַכִּפֻּרִ֗ים אַחַ֤ת בַּשָּׁנָה֙ יְכַפֵּ֤ר עָלָיו֙ לְדֹרֹ֣תֵיכֶ֔ם קֹֽדֶשׁ־קָֽדָשִׁ֥ים ה֖וּא לַיהוָֽה׃ פ 
אחת.ל.שׁלושׁ.שׁנים,אחת,1,,,2_Chronicles 9:21,אַחַת֩ לְשָׁלֹ֨ושׁ שָׁנִ֜ים ,896963,כִּֽי־אֳנִיֹּ֤ות לַמֶּ֨לֶךְ֙ הֹלְכֹ֣ות תַּרְשִׁ֔ישׁ עִ֖ם עַבְדֵ֣י חוּרָ֑ם אַחַת֩ לְשָׁלֹ֨ושׁ שָׁנִ֜ים תָּבֹ֣ואנָה׀ אֳנִיֹּ֣ות תַּרְשִׁ֗ישׁ נֹֽשְׂאֹות֙ זָהָ֣ב וָכֶ֔סֶף שֶׁנְהַבִּ֥ים וְקֹופִ֖ים וְתוּכִּיִּֽים׃ פ 
אחת.ל.שׁלשׁ.שׁנים,אחת,1,,,1_Kings 10:22,אַחַת֩ לְשָׁלֹ֨שׁ שָׁנִ֜ים ,757950,כִּי֩ אֳנִ֨י תַרְשִׁ֤ישׁ לַמֶּ֨לֶךְ֙ בַּיָּ֔ם עִ֖ם אֳנִ֣י חִירָ֑ם אַחַת֩ לְשָׁלֹ֨שׁ שָׁנִ֜ים תָּבֹ֣וא׀ אֳנִ֣י תַרְשִׁ֗ישׁ נֹֽשְׂאֵת֙ זָהָ֣ב וָכֶ֔סֶף שֶׁנְהַבִּ֥ים וְקֹפִ֖ים וְתֻכִּיִּֽים׃ 
אחת.עשׂרה.שׁנה,שׁנה,5,,,Jeremiah 52:1,אַחַ֤ת עֶשְׂרֵה֙ שָׁנָ֔ה ,806392,בֶּן־עֶשְׂרִ֨ים וְאַחַ֤ת שָׁנָה֙ צִדְקִיָּ֣הוּ בְמָלְכֹ֔ו וְאַחַ֤ת עֶשְׂרֵה֙ שָׁנָ֔ה מָלַ֖ךְ בִּירֽוּשָׁלִָ֑ם וְשֵׁ֣ם אִמֹּ֔ו חֲמוּטַ֥ל בַּֽת־יִרְמְיָ֖הוּ מִלִּבְנָֽה׃ 
אך,אך,1,,,1_Samuel 1:23,אַ֛ךְ ,731915,וַיֹּ֣אמֶר לָהּ֩ אֶלְקָנָ֨ה אִישָׁ֜הּ עֲשִׂ֧י הַטֹּ֣וב בְּעֵינַ֗יִךְ שְׁבִי֙ עַד־גָּמְלֵ֣ךְ אֹתֹ֔ו אַ֛ךְ יָקֵ֥ם יְהוָ֖ה אֶת־דְּבָרֹ֑ו וַתֵּ֤שֶׁב הָֽאִשָּׁה֙ וַתֵּ֣ינֶק אֶת־בְּנָ֔הּ עַד־גָּמְלָ֖הּ אֹתֹֽו׃ 
אך.ב.ה.יום.ה.ראשׁון,ב,1,,,Exodus 12:15,אַ֚ךְ בַּיֹּ֣ום הָרִאשֹׁ֔ון ,673290,שִׁבְעַ֤ת יָמִים֙ מַצֹּ֣ות תֹּאכֵ֔לוּ אַ֚ךְ בַּיֹּ֣ום הָרִאשֹׁ֔ון תַּשְׁבִּ֥יתוּ שְּׂאֹ֖ר מִבָּתֵּיכֶ֑ם כִּ֣י׀ כָּל־אֹכֵ֣ל חָמֵ֗ץ וְנִכְרְתָ֞ה הַנֶּ֤פֶשׁ הַהִוא֙ מִיִּשְׂרָאֵ֔ל מִיֹּ֥ום הָרִאשֹׁ֖ן עַד־יֹ֥ום הַשְּׁבִעִֽי׃ 
אך.ב.ה.עשׂור.ל.ה.חדשׁ.ה.שׁביעי.ה.זה,ב,1,,,Leviticus 23:27,אַ֡ךְ בֶּעָשֹׂ֣ור לַחֹדֶשׁ֩ הַשְּׁבִיעִ֨י הַזֶּ֜ה ,690405,אַ֡ךְ בֶּעָשֹׂ֣ור לַחֹדֶשׁ֩ הַשְּׁבִיעִ֨י הַזֶּ֜ה יֹ֧ום הַכִּפֻּרִ֣ים ה֗וּא מִֽקְרָא־קֹ֨דֶשׁ֙ יִהְיֶ֣ה לָכֶ֔ם וְעִנִּיתֶ֖ם אֶת־נַפְשֹׁתֵיכֶ֑ם וְהִקְרַבְתֶּ֥ם אִשֶּׁ֖ה לַיהוָֽה׃ 
אך.ב.חמשׁה.עשׂר.יום.ל.ה.חדשׁ.ה.שׁביעי,ב,1,,,Leviticus 23:39,אַ֡ךְ בַּחֲמִשָּׁה֩ עָשָׂ֨ר יֹ֜ום לַחֹ֣דֶשׁ הַשְּׁבִיעִ֗י ,690509,אַ֡ךְ בַּחֲמִשָּׁה֩ עָשָׂ֨ר יֹ֜ום לַחֹ֣דֶשׁ הַשְּׁבִיעִ֗י בְּאָסְפְּכֶם֙ אֶת־תְּבוּאַ֣ת הָאָ֔רֶץ תָּחֹ֥גּוּ אֶת־חַג־יְהוָ֖ה שִׁבְעַ֣ת יָמִ֑ים בַּיֹּ֤ום הָֽרִאשֹׁון֙ שַׁבָּתֹ֔ון וּבַיֹּ֥ום הַשְּׁמִינִ֖י שַׁבָּתֹֽון׃ 
אך.ב.ימיך,ב,1,,,1_Kings 11:12,אַךְ־בְּיָמֶ֨יךָ֙ ,758150,אַךְ־בְּיָמֶ֨יךָ֙ לֹ֣א אֶעֱשֶׂ֔נָּה לְמַ֖עַן דָּוִ֣ד אָבִ֑יךָ מִיַּ֥ד בִּנְךָ֖ אֶקְרָעֶֽנָּה׃ 
אך.עתה,עתה,1,,,Job 16:7,אַךְ־עַתָּ֥ה ,856186,אַךְ־עַתָּ֥ה הֶלְאָ֑נִי הֲ֝שִׁמֹּ֗ותָ כָּל־עֲדָתִֽי׃ 
אלף.שׁנים,שׁנים,1,,,Ecclesiastes 6:6,אֶ֤לֶף שָׁנִים֙ ,871215,וְאִלּ֣וּ חָיָ֗ה אֶ֤לֶף שָׁנִים֙ פַּעֲמַ֔יִם וְטֹובָ֖ה לֹ֣א רָאָ֑ה הֲלֹ֛א אֶל־מָקֹ֥ום אֶחָ֖ד הַכֹּ֥ל הֹולֵֽךְ׃ 
אמשׁ,אמשׁ,4,,,Genesis 19:34,אֶ֖מֶשׁ ,656797,וַֽיְהִי֙ מִֽמָּחֳרָ֔ת וַתֹּ֤אמֶר הַבְּכִירָה֙ אֶל־הַצְּעִירָ֔ה הֵן־שָׁכַ֥בְתִּי אֶ֖מֶשׁ אֶת־אָבִ֑י נַשְׁקֶ֨נּוּ יַ֜יִן גַּם־הַלַּ֗יְלָה וּבֹ֨אִי֙ שִׁכְבִ֣י עִמֹּ֔ו וּנְחַיֶּ֥ה מֵאָבִ֖ינוּ זָֽרַע׃ 
אף.לילות,לילות,1,,,Psalms 16:7,אַף־לֵ֝ילֹ֗ות ,836622,אֲבָרֵ֗ךְ אֶת־יְ֭הוָה אֲשֶׁ֣ר יְעָצָ֑נִי אַף־לֵ֝ילֹ֗ות יִסְּר֥וּנִי כִלְיֹותָֽי׃ 
ארבעה.חדשׁים,חדשׁים,1,,,Judges 20:47,אַרְבָּעָ֖ה חֳדָשִֽׁים׃ ,731251,וַיִּפְנ֞וּ וַיָּנֻ֤סוּ הַמִּדְבָּ֨רָה֙ אֶל־סֶ֣לַע הָֽרִמֹּ֔ון שֵׁ֥שׁ מֵאֹ֖ות אִ֑ישׁ וַיֵּֽשְׁבוּ֙ בְּסֶ֣לַע רִמֹּ֔ון אַרְבָּעָ֖ה חֳדָשִֽׁים׃ 
ארבעים.יום,יום,3,,,Genesis 7:17,אַרְבָּעִ֥ים יֹ֖ום ,653447,וַֽיְהִ֧י הַמַּבּ֛וּל אַרְבָּעִ֥ים יֹ֖ום עַל־הָאָ֑רֶץ וַיִּרְבּ֣וּ הַמַּ֗יִם וַיִּשְׂאוּ֙ אֶת־הַתֵּבָ֔ה וַתָּ֖רָם מֵעַ֥ל הָאָֽרֶץ׃ 
ארבעים.יום.ו.ארבעים.לילה,יום.לילה,8,,,Exodus 24:18,אַרְבָּעִ֣ים יֹ֔ום וְאַרְבָּעִ֖ים לָֽיְלָה׃ פ ,677597,וַיָּבֹ֥א מֹשֶׁ֛ה בְּתֹ֥וךְ הֶעָנָ֖ן וַיַּ֣עַל אֶל־הָהָ֑ר וַיְהִ֤י מֹשֶׁה֙ בָּהָ֔ר אַרְבָּעִ֣ים יֹ֔ום וְאַרְבָּעִ֖ים לָֽיְלָה׃ פ 
ארבעים.שׁנה,שׁנה,24,,,Judges 5:31,אַרְבָּעִ֥ים שָׁנָֽה׃ פ ,724673,כֵּ֠ן יֹאבְד֤וּ כָל־אֹויְבֶ֨יךָ֙ יְהוָ֔ה וְאֹ֣הֲבָ֔יו כְּצֵ֥את הַשֶּׁ֖מֶשׁ בִּגְבֻרָתֹ֑ו וַתִּשְׁקֹ֥ט הָאָ֖רֶץ אַרְבָּעִ֥ים שָׁנָֽה׃ פ 
ארבעים.שׁנה.ו.שׁמנה.מאות.שׁנה,שׁנה.שׁנה,1,,,Genesis 5:13,אַרְבָּעִ֣ים שָׁנָ֔ה וּשְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה ,652923,וַיְחִ֣י קֵינָ֗ן אַחֲרֵי֙ הֹולִידֹ֣ו אֶת־מַֽהֲלַלְאֵ֔ל אַרְבָּעִ֣ים שָׁנָ֔ה וּשְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה וַיֹּ֥ולֶד בָּנִ֖ים וּבָנֹֽות׃ 
את.ארבעים.ה.יום.ו.את.ארבעים.ה.לילה,את.את,1,,,Deuteronomy 9:25,אֵ֣ת אַרְבָּעִ֥ים הַיֹּ֛ום וְאֶת־אַרְבָּעִ֥ים הַלַּ֖יְלָה ,707641,וָֽאֶתְנַפַּ֞ל לִפְנֵ֣י יְהוָ֗ה אֵ֣ת אַרְבָּעִ֥ים הַיֹּ֛ום וְאֶת־אַרְבָּעִ֥ים הַלַּ֖יְלָה אֲשֶׁ֣ר הִתְנַפָּ֑לְתִּי כִּֽי־אָמַ֥ר יְהוָ֖ה לְהַשְׁמִ֥יד אֶתְכֶֽם׃ 
את.שׁבעת.ה.ימים,את,1,,,Exodus 13:7,אֵ֖ת שִׁבְעַ֣ת הַיָּמִ֑ים ,673775,מַצֹּות֙ יֵֽאָכֵ֔ל אֵ֖ת שִׁבְעַ֣ת הַיָּמִ֑ים וְלֹֽא־יֵרָאֶ֨ה לְךָ֜ חָמֵ֗ץ וְלֹֽא־יֵרָאֶ֥ה לְךָ֛ שְׂאֹ֖ר בְּכָל־גְּבֻלֶֽךָ׃ 
אתמול,אתמול,1,,,Micah 2:8,אֶתְמ֗וּל ,828624,וְאֶתְמ֗וּל עַמִּי֙ לְאֹויֵ֣ב יְקֹומֵ֔ם מִמּ֣וּל שַׂלְמָ֔ה אֶ֖דֶר תַּפְשִׁט֑וּן מֵעֹבְרִ֣ים בֶּ֔טַח שׁוּבֵ֖י מִלְחָמָֽה׃ 
אתמול.שׁלשׁם,אתמול,1,,,1_Samuel 4:7,אֶתְמֹ֥ול שִׁלְשֹֽׁם׃ ,732891,וַיִּֽרְאוּ֙ הַפְּלִשְׁתִּ֔ים כִּ֣י אָמְר֔וּ בָּ֥א אֱלֹהִ֖ים אֶל־הַֽמַּחֲנֶ֑ה וַיֹּאמְרוּ֙ אֹ֣וי לָ֔נוּ כִּ֣י לֹ֥א הָיְתָ֛ה כָּזֹ֖את אֶתְמֹ֥ול שִׁלְשֹֽׁם׃ 
