token,(n)heads_token,freq,mark,note,ex_ref,ex,ex_node,ex_verse
אחר.גזי.ה.מלך,גזי,1,,,Amos 7:1,אַחַ֖ר גִּזֵּ֥י הַמֶּֽלֶךְ׃ ,826788,כֹּ֤ה הִרְאַ֨נִי֙ אֲדֹנָ֣י יְהוִ֔ה וְהִנֵּה֙ יֹוצֵ֣ר גֹּבַ֔י בִּתְחִלַּ֖ת עֲלֹ֣ות הַלָּ֑קֶשׁ וְהִ֨נֵּה־לֶ֔קֶשׁ אַחַ֖ר גִּזֵּ֥י הַמֶּֽלֶךְ׃ 
אחר.דברי,דברי,1,,,Job 21:3,אַחַ֖ר דַּבְּרִ֣י ,857009,שָׂ֭אוּנִי וְאָנֹכִ֣י אֲדַבֵּ֑ר וְאַחַ֖ר דַּבְּרִ֣י תַלְעִֽיג׃ 
אחר.ה.דבר.ה.זה,דבר,1,,,1_Kings 13:33,אַחַר֙ הַדָּבָ֣ר הַזֶּ֔ה ,759623,אַחַר֙ הַדָּבָ֣ר הַזֶּ֔ה לֹֽא־שָׁ֥ב יָרָבְעָ֖ם מִדַּרְכֹּ֣ו הָרָעָ֑ה וַ֠יָּשָׁב וַיַּ֜עַשׂ מִקְצֹ֤ות הָעָם֙ כֹּהֲנֵ֣י בָמֹ֔ות הֶֽחָפֵץ֙ יְמַלֵּ֣א אֶת־יָדֹ֔ו וִיהִ֖י כֹּהֲנֵ֥י בָמֹֽות׃ 
אחר.ה.דברים.ה.אלה,דברים,8,,,1_Kings 17:17,אַחַר֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה ,761039,וַיְהִ֗י אַחַר֙ הַדְּבָרִ֣ים הָאֵ֔לֶּה חָלָ֕ה בֶּן־הָאִשָּׁ֖ה בַּעֲלַ֣ת הַבָּ֑יִת וַיְהִ֤י חָלְיֹו֙ חָזָ֣ק מְאֹ֔ד עַ֛ד אֲשֶׁ֥ר לֹא־נֹֽותְרָה־בֹּ֖ו נְשָׁמָֽה׃ 
אחר.ה.יבל,יבל,1,,,Leviticus 27:18,אַחַ֣ר הַיֹּבֵל֮ ,692187,וְאִם־אַחַ֣ר הַיֹּבֵל֮ יַקְדִּ֣ישׁ שָׂדֵהוּ֒ וְחִשַּׁב־לֹ֨ו הַכֹּהֵ֜ן אֶת־הַכֶּ֗סֶף עַל־פִּ֤י הַשָּׁנִים֙ הַנֹּ֣ותָרֹ֔ת עַ֖ד שְׁנַ֣ת הַיֹּבֵ֑ל וְנִגְרַ֖ע מֵֽעֶרְכֶּֽךָ׃ 
אחר.ה.מבול,מבול,3,,,Genesis 10:1,אַחַ֥ר הַמַּבּֽוּל׃ ,654038,וְאֵ֨לֶּה֙ תֹּולְדֹ֣ת בְּנֵי־נֹ֔חַ שֵׁ֖ם חָ֣ם וָיָ֑פֶת וַיִּוָּלְד֥וּ לָהֶ֛ם בָּנִ֖ים אַחַ֥ר הַמַּבּֽוּל׃ 
אחר.זה,זה,1,,,2_Chronicles 32:9,אַ֣חַר זֶ֗ה ,903093,אַ֣חַר זֶ֗ה שָׁ֠לַח סַנְחֵרִ֨יב מֶֽלֶךְ־אַשּׁ֤וּר עֲבָדָיו֙ יְר֣וּשָׁלַ֔יְמָה וְהוּא֙ עַל־לָכִ֔ישׁ וְכָל־מֶמְשַׁלְתֹּ֖ו עִמֹּ֑ו עַל־יְחִזְקִיָּ֨הוּ֙ מֶ֣לֶךְ יְהוּדָ֔ה וְעַל־כָּל־יְהוּדָ֛ה אֲשֶׁ֥ר בִּירוּשָׁלִַ֖ם לֵאמֹֽר׃ 
אחר.כן,כן,2,,,Leviticus 14:36,אַ֥חַר כֵּ֛ן ,687285,וְצִוָּ֨ה הַכֹּהֵ֜ן וּפִנּ֣וּ אֶת־הַבַּ֗יִת בְּטֶ֨רֶם יָבֹ֤א הַכֹּהֵן֙ לִרְאֹ֣ות אֶת־הַנֶּ֔גַע וְלֹ֥א יִטְמָ֖א כָּל־אֲשֶׁ֣ר בַּבָּ֑יִת וְאַ֥חַר כֵּ֛ן יָבֹ֥א הַכֹּהֵ֖ן לִרְאֹ֥ות אֶת־הַבָּֽיִת׃ 
אחר.מות.חצרון.ב.כלב.אפרתה,מות,1,,,1_Chronicles 2:24,אַחַ֥ר מֹות־חֶצְרֹ֖ון בְּכָלֵ֣ב אֶפְרָ֑תָה ,887795,וְאַחַ֥ר מֹות־חֶצְרֹ֖ון בְּכָלֵ֣ב אֶפְרָ֑תָה וְאֵ֤שֶׁת חֶצְרֹון֙ אֲבִיָּ֔ה וַתֵּ֣לֶד לֹ֔ו אֶת־אַשְׁח֖וּר אֲבִ֥י תְקֹֽועַ׃ 
אחר.שׁלוחיה,שׁלוחיה,1,,,Exodus 18:2,אַחַ֖ר שִׁלּוּחֶֽיהָ׃ ,675413,וַיִּקַּ֗ח יִתְרֹו֙ חֹתֵ֣ן מֹשֶׁ֔ה אֶת־צִפֹּרָ֖ה אֵ֣שֶׁת מֹשֶׁ֑ה אַחַ֖ר שִׁלּוּחֶֽיהָ׃ 
אחרי,,4,,,Nehemiah 3:31,אַחֲרָ֣יו ,884421,אַחֲרָ֣יו הֶחֱזִ֗יק מַלְכִּיָּה֙ בֶּן־הַצֹּ֣רְפִ֔י עַד־בֵּ֥ית הַנְּתִינִ֖ים וְהָרֹכְלִ֑ים נֶ֚גֶד שַׁ֣עַר הַמִּפְקָ֔ד וְעַ֖ד עֲלִיַּ֥ת הַפִּנָּֽה׃ 
