Source,Target,Weight
0,49,0.02
0,84,0.01
0,221,0.05
0,109,0.01
0,130,0.01
0,144,0.02
0,150,0.12
0,152,0.01
1,220,0.14
1,2,0.17
1,3,0.24
1,222,0.14
1,41,0.08
1,4,0.29
1,31,0.13
1,11,0.08
1,12,0.22
1,15,0.27
1,16,0.21
1,69,0.09
1,17,0.2
1,34,0.14
1,30,0.18
1,20,0.19
1,48,0.01
1,223,0.25
1,27,0.3
1,28,0.06
1,90,0.13
1,224,0.17
1,93,0.04
1,32,0.04
1,33,0.24
1,35,0.28
1,225,0.06
1,226,0.28
1,127,0.25
1,63,0.21
1,40,0.09
1,42,0.27
1,227,0.06
1,46,0.18
1,47,0.31
1,49,0.09
1,100,0.01
1,51,0.13
1,52,0.17
1,230,0.26
1,53,0.1
1,54,0.04
1,231,0.1
1,56,0.15
1,57,0.21
1,58,0.06
1,65,0.13
1,66,0.19
1,166,0.08
1,70,0.16
1,71,0.12
1,92,0.27
1,76,0.21
1,77,0.14
1,78,0.02
1,211,0.12
1,232,0.21
1,80,0.14
1,81,0.24
1,82,0.31
1,233,0.14
1,83,0.09
1,237,0.47
1,239,0.14
1,174,0.12
1,240,0.09
1,91,0.14
1,113,0.04
1,97,0.14
1,98,0.01
1,101,0.14
1,102,0.07
1,104,0.18
1,146,0.26
1,128,0.02
1,151,0.03
1,154,0.14
1,167,0.02
1,242,0.14
1,169,0.31
1,244,0.06
1,176,0.26
1,183,0.06
1,245,0.14
1,247,0.14
1,248,0.47
1,200,0.14
1,205,0.01
1,249,0.14
1,209,0.01
1,210,0.01
1,212,0.01
1,217,0.05
1,218,0.05
1,253,0.24
1,255,0.06
1,256,0.14
2,220,0.03
2,1,0.1
2,3,0.03
2,222,0.23
2,41,0.25
2,9,0.27
2,68,0.05
2,164,0.03
2,13,0.15
2,6,0.06
2,4,0.11
2,44,0.06
2,15,0.12
2,16,0.1
2,257,0.04
2,69,0.02
2,24,0.04
2,27,0.12
2,90,0.04
2,32,0.05
2,225,0.15
2,50,0.46
2,258,0.47
2,36,0.1
2,37,0.17
2,39,0.23
2,42,0.06
2,43,0.13
2,49,0.12
2,100,0.1
2,53,0.01
2,231,0.07
2,56,0.01
2,57,0.08
2,58,0.01
2,59,0.4
2,60,0.23
2,61,0.04
2,259,0.3
2,260,0.23
2,64,0.3
2,166,0.07
2,92,0.03
2,261,0.32
2,262,0.23
2,187,0.25
2,74,0.01
2,159,0.15
2,76,0.1
2,77,0.23
2,263,0.47
2,80,0.23
2,264,0.45
2,265,0.23
2,156,0.09
2,83,0.04
2,266,0.4
2,234,0.13
2,235,0.18
2,236,0.11
2,85,0.4
2,238,0.01
2,239,0.23
2,86,0.4
2,174,0.02
2,254,0.23
2,88,0.4
2,89,0.3
2,240,0.06
2,91,0.23
2,267,0.4
2,94,0.08
2,96,0.26
2,97,0.23
2,103,0.17
2,123,0.04
2,125,0.01
2,146,0.08
2,177,0.18
2,133,0.03
2,134,0.13
2,269,0.4
2,147,0.02
2,135,0.23
2,136,0.4
2,138,0.4
2,141,0.4
2,142,0.13
2,143,0.01
2,145,0.09
2,149,0.25
2,154,0.23
2,155,0.3
2,157,0.4
2,160,0.4
2,161,0.15
2,162,0.15
2,165,0.4
2,242,0.23
2,168,0.4
2,173,0.4
2,270,0.9
2,271,0.4
2,178,0.4
2,181,0.1
2,182,0.1
2,184,0.4
2,272,0.4
2,273,0.4
2,245,0.23
2,185,0.4
2,186,0.02
2,248,0.23
2,188,0.23
2,189,0.4
2,274,0.4
2,190,0.23
2,196,0.05
2,197,0.23
2,250,0.17
2,249,0.06
2,206,0.09
2,276,0.15
2,207,0.12
2,208,0.12
2,209,0.03
2,210,0.03
2,212,0.03
2,213,0.06
2,214,0.3
2,252,0.12
2,219,0.4
2,255,0.15
2,256,0.23
3,220,0.01
3,1,0.01
3,11,0.01
3,18,0.01
3,93,0.01
3,63,0.04
3,51,0.01
3,53,0.07
4,1,0.01
4,32,0.01
4,50,0.01
4,243,0.01
5,0,0.04
5,8,0.02
5,164,0.11
5,45,0.13
5,19,0.04
5,7,0.27
5,55,0.11
5,13,0.12
5,99,0.23
5,67,0.15
5,26,0.18
5,25,0.1
5,6,0.22
5,73,0.1
5,44,0.03
5,10,0.24
5,12,0.02
5,257,0.07
5,17,0.01
5,18,0.07
5,21,0.1
5,223,0.07
5,23,0.06
5,258,0.03
5,227,0.21
5,49,0.01
5,56,0.02
5,84,0.04
5,65,0.05
5,66,0.01
5,70,0.25
5,71,0.04
5,72,0.04
5,292,0.21
5,221,0.07
5,264,0.07
5,81,0.24
5,87,0.08
5,104,0.08
5,105,0.04
5,106,0.07
5,107,0.03
5,108,0.13
5,109,0.06
5,110,0.13
5,111,0.1
5,112,0.08
5,114,0.15
5,115,0.21
5,116,0.09
5,117,0.06
5,118,0.14
5,119,0.16
5,120,0.18
5,121,0.2
5,122,0.11
5,124,0.15
5,126,0.11
5,128,0.06
5,129,0.14
5,130,0.03
5,151,0.06
5,131,0.01
5,132,0.01
5,291,0.96
5,144,0.03
5,150,0.02
5,152,0.07
5,153,0.14
5,244,0.21
5,175,0.03
5,290,0.1
5,191,0.05
5,193,0.16
5,199,0.02
5,201,0.07
5,202,0.07
5,203,0.07
5,204,0.04
6,9,0.01
6,19,0.01
6,7,0.02
6,5,0.02
6,55,0.01
6,26,0.02
6,73,0.01
6,44,0.02
6,10,0.14
6,78,0.04
6,91,0.16
6,108,0.02
6,129,0.09
6,152,0.01
7,9,0.01
7,45,0.02
7,19,0.02
7,5,0.02
7,55,0.03
7,13,0.01
7,99,0.07
7,67,0.04
7,25,0.01
7,6,0.02
7,73,0.01
7,10,0.14
7,257,0.03
7,50,0.01
7,187,0.05
7,290,0.14
8,222,0.29
8,241,0.34
8,164,0.02
8,45,0.03
8,19,0.01
8,5,0.03
8,55,0.03
8,13,0.02
8,99,0.03
8,67,0.02
8,26,0.04
8,25,0.01
8,73,0.05
8,10,0.09
8,11,0.05
8,14,0.05
8,17,0.02
8,18,0.06
8,30,0.02
8,20,0.02
8,21,0.04
8,179,0.29
8,23,0.04
8,28,0.09
8,224,0.04
8,63,0.06
8,243,0.53
8,40,0.07
8,227,0.2
8,51,0.02
8,53,0.03
8,56,0.01
8,139,0.05
8,84,0.01
8,65,0.02
8,66,0.01
8,71,0.04
8,92,0.02
8,72,0.07
8,159,0.2
8,78,0.02
8,221,0.06
8,156,0.06
8,83,0.09
8,240,0.01
8,278,0.92
8,103,0.01
8,102,0.04
8,104,0.08
8,105,0.01
8,106,0.06
8,107,0.01
8,108,0.08
8,109,0.03
8,110,0.06
8,111,0.09
8,112,0.08
8,114,0.07
8,115,0.2
8,116,0.02
8,117,0.01
8,118,0.04
8,119,0.05
8,120,0.06
8,121,0.07
8,122,0.05
8,124,0.08
8,126,0.11
8,128,0.06
8,129,0.13
8,130,0.02
8,151,0.07
8,131,0.05
8,132,0.05
8,147,0.08
8,279,0.2
8,144,0.03
8,280,0.95
8,152,0.06
8,153,0.13
8,155,0.05
8,244,0.2
8,175,0.08
8,271,0.45
8,281,0.45
8,247,0.29
8,191,0.04
8,193,0.15
8,275,0.22
8,198,0.18
8,199,0.14
8,201,0.06
8,202,0.06
8,205,0.05
8,203,0.06
8,204,0.04
8,282,0.2
8,251,0.22
8,217,0.06
8,218,0.06
9,2,0.01
9,41,0.04
9,6,0.01
9,10,0.14
9,79,0.01
9,187,0.2
9,188,0.22
10,9,0.01
10,7,0.01
10,6,0.01
11,220,0.01
11,1,0.01
11,3,0.03
11,8,0.03
11,45,0.01
11,55,0.05
11,13,0.02
11,67,0.03
11,25,0.02
11,6,0.03
11,73,0.04
11,12,0.07
11,14,0.09
11,257,0.03
11,17,0.09
11,18,0.06
11,20,0.07
11,21,0.02
11,28,0.01
11,258,0.12
11,63,0.13
11,53,0.05
11,56,0.02
11,57,0.02
11,58,0.02
11,65,0.02
11,66,0.07
11,71,0.04
11,72,0.05
11,74,0.08
11,75,0.06
11,87,0.09
11,102,0.01
11,151,0.03
