Source,Target,Weight
0,1,0.05
0,4,0.24
0,6,0.05
0,9,0.11
1,0,0.28
1,7,0.19
1,9,0.07
2,3,0.19
2,5,0.05
2,7,0.28
2,9,0.02
3,2,0.29
3,7,0.18
4,0,0.67
5,2,0.27
5,7,0.2
6,0,0.09
6,7,0.4
6,9,0.06
7,1,0.02
7,2,0.24
7,3,0.1
7,5,0.04
7,6,0.11
7,8,0.01
8,7,0.71
9,0,0.29
9,1,0.04
9,2,0.07
9,6,0.09
