Source,Target,Weight
0,1,0.02
0,2,0.03
0,4,0.01
0,6,0.05
0,7,0.08
0,9,0.02
1,0,0.01
1,7,0.56
2,0,0.05
2,3,0.04
2,7,0.36
2,9,0.01
3,2,0.39
3,4,0.01
3,7,0.02
4,0,0.18
4,2,0.01
4,3,0.02
4,6,0.01
4,7,0.03
5,1,0.02
5,2,0.16
5,7,0.1
6,0,0.09
6,7,0.36
6,9,0.02
7,0,0.03
7,1,0.38
7,2,0.1
7,6,0.09
7,8,0.16
8,7,0.61
9,0,0.1
9,2,0.03
9,6,0.07
9,7,0.02
