Source,Target,Weight
0,1,0.08
0,2,0.02
0,4,0.01
0,6,0.02
0,7,0.1
0,9,0.02
1,0,0.07
1,7,0.4
1,9,0.01
2,0,0.03
2,3,0.04
2,7,0.36
3,2,0.35
3,7,0.01
4,0,0.21
4,7,0.05
5,2,0.26
5,7,0.04
6,0,0.04
6,7,0.41
7,0,0.05
7,1,0.21
7,2,0.11
7,6,0.14
7,8,0.2
8,7,0.64
9,0,0.08
9,1,0.03
9,7,0.03
