node,head,ref,sentence
726584,לילה,Judg 9:32,ק֣וּם לַ֔יְלָה אַתָּ֖ה וְהָעָ֣ם אֲשֶׁר־אִתָּ֑ךְ 
726618,לילה,Judg 9:34,וַיָּ֧קָם אֲבִימֶ֛לֶךְ וְכָל־הָעָ֥ם אֲשֶׁר־עִמֹּ֖ו לָ֑יְלָה 
730725,לילה,Judg 20:5,וַיָּסֹ֧בּוּ עָלַ֛י אֶת־הַבַּ֖יִת לָ֑יְלָה 
736471,לילה,1 Sam 14:36,נֵרְדָ֣ה אַחֲרֵי֩ פְלִשְׁתִּ֨ים׀ לַ֜יְלָה 
741365,יום,1 Sam 25:8,כִּֽי־עַל־יֹ֥ום טֹ֖וב בָּ֑נוּ 
742055,לילה,1 Sam 26:7,וַיָּבֹא֩ דָוִ֨ד וַאֲבִישַׁ֥י׀ אֶל־הָעָם֮ לַיְלָה֒ 
742672,לילה,1 Sam 28:8,וַיָּבֹ֥אוּ אֶל־הָאִשָּׁ֖ה לָ֑יְלָה 
750680,יום,2 Sam 18:20,וּבִשַּׂרְתָּ֖ בְּיֹ֣ום אַחֵ֑ר 
752155,לילה,2 Sam 21:10,וְלֹֽא־נָתְנָה֩ עֹ֨וף הַשָּׁמַ֜יִם לָנ֤וּחַ עֲלֵיהֶם֙ יֹומָ֔ם וְאֶת־חַיַּ֥ת הַשָּׂדֶ֖ה לָֽיְלָה׃ 
755049,לילה,1 Kgs 3:19,וַיָּ֛מָת בֶּן־הָאִשָּׁ֥ה הַזֹּ֖את לָ֑יְלָה 
755632,חדשׁ,1 Kgs 5:28,חֹ֚דֶשׁ יִהְי֣וּ בַלְּבָנֹ֔ון שְׁנַ֥יִם חֳדָשִׁ֖ים בְּבֵיתֹ֑ו 
766556,לילה,2 Kgs 6:14,וַיָּבֹ֣אוּ לַ֔יְלָה 
767118,לילה,2 Kgs 7:12,וַיָּ֨קָם הַמֶּ֜לֶךְ לַ֗יְלָה 
767623,לילה,2 Kgs 8:21,ה֞וּא קָ֣ם לַ֗יְלָה 
774865,לילה,Isa 4:5,וּבָרָ֣א יְהוָ֡ה עַל֩ כָּל־מְכֹ֨ון הַר־צִיֹּ֜ון וְעַל־מִקְרָאֶ֗הָ עָנָ֤ן׀ יֹומָם֙ וְעָשָׁ֔ן וְנֹ֛גַהּ אֵ֥שׁ לֶהָבָ֖ה לָ֑יְלָה 
782253,יום,Isa 38:12,מִיֹּ֥ום עַד־לַ֖יְלָה תַּשְׁלִימֵֽנִי׃ 
782253,לילה,Isa 38:12,מִיֹּ֥ום עַד־לַ֖יְלָה תַּשְׁלִימֵֽנִי׃ 
782256,בקר,Isa 38:13,שִׁוִּ֤יתִי עַד־בֹּ֨קֶר֙ 
782261,יום,Isa 38:13,מִיֹּ֥ום עַד־לַ֖יְלָה תַּשְׁלִימֵֽנִי׃ 
782261,לילה,Isa 38:13,מִיֹּ֥ום עַד־לַ֖יְלָה תַּשְׁלִימֵֽנִי׃ 
783656,יום,Isa 43:13,גַּם־מִיֹּום֙ אֲנִ֣י ה֔וּא 
791817,יום,Jer 7:25,וָאֶשְׁלַ֤ח אֲלֵיכֶם֙ אֶת־כָּל־עֲבָדַ֣י הַנְּבִיאִ֔ים יֹ֖ום הַשְׁכֵּ֥ם וְשָׁלֹֽחַ׃ 
794772,ראשׁון,Jer 17:12,כִּסֵּ֣א כָבֹ֔וד מָרֹ֖ום מֵֽרִאשֹׁ֑ון מְקֹ֖ום מִקְדָּשֵֽׁנוּ׃ 
802004,לילה,Jer 39:4,וַיֵּצְא֨וּ לַ֤יְלָה מִן־הָעִיר֙ דֶּ֚רֶךְ גַּ֣ן הַמֶּ֔לֶךְ בְּשַׁ֖עַר בֵּ֣ין הַחֹמֹתָ֑יִם 
806456,לילה,Jer 52:7,וַיֵּצְא֨וּ מֵהָעִ֜יר לַ֗יְלָה דֶּ֜רֶךְ שַׁ֤עַר בֵּין־הַחֹמֹתַ֨יִם֙ אֲשֶׁר֙ עַל־גַּ֣ן הַמֶּ֔לֶךְ 
822516,יום,Ezek 48:35,וְשֵׁם־הָעִ֥יר מִיֹּ֖ום יְהוָ֥ה׀ שָֽׁמָּה׃ 
823071,לילה,Hos 4:5,וְכָשַׁ֧ל גַּם־נָבִ֛יא עִמְּךָ֖ לָ֑יְלָה 
823558,בקר,Hos 7:6,בֹּ֕קֶר ה֥וּא בֹעֵ֖ר כְּאֵ֥שׁ לֶהָבָֽה׃ 
824594,עת,Hos 13:13,כִּֽי־עֵ֥ת 
824970,דור,Joel 2:2,וְאַֽחֲרָיו֙ לֹ֣א יֹוסֵ֔ף עַד־שְׁנֵ֖י דֹּ֥ור וָדֹֽור׃ 
835638,בקר,Ps 5:4,יְֽהוָ֗ה בֹּ֖קֶר תִּשְׁמַ֣ע קֹולִ֑י בֹּ֥קֶר אֶֽעֱרָךְ־לְ֝ךָ֗ וַאֲצַפֶּֽה׃ 
