node,ref,head_voc,text,sentence,link
653565,Gen 8:5,עֲשִׂירִי,בָּֽעֲשִׂירִי֙ ,בָּֽעֲשִׂירִי֙ בְּאֶחָ֣ד לַחֹ֔דֶשׁ נִרְא֖וּ רָאשֵׁ֥י הֶֽהָרִֽים׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=8&verse=5&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
653660,Gen 8:13,רִאשֹׁון,בָּֽרִאשֹׁון֙ ,בְּאַחַ֨ת וְשֵׁשׁ־מֵאֹ֜ות שָׁנָ֗ה בָּֽרִאשֹׁון֙ בְּאֶחָ֣ד לַחֹ֔דֶשׁ חָֽרְב֥וּ הַמַּ֖יִם מֵעַ֣ל הָאָ֑רֶץ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=8&verse=13&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
654023,Gen 9:28,מַבּוּל,אַחַ֣ר הַמַּבּ֑וּל ,וַֽיְחִי־נֹ֖חַ אַחַ֣ר הַמַּבּ֑וּל שְׁלֹ֤שׁ מֵאֹות֙ שָׁנָ֔ה וַֽחֲמִשִּׁ֖ים שָׁנָֽה׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=9&verse=28&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
654038,Gen 10:1,מַבּוּל,אַחַ֥ר הַמַּבּֽוּל׃ ,וַיִּוָּלְד֥וּ לָהֶ֛ם בָּנִ֖ים אַחַ֥ר הַמַּבּֽוּל׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=10&verse=1&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
654202,Gen 10:32,מַבּוּל,אַחַ֥ר הַמַּבּֽוּל׃ פ ,וּמֵאֵ֜לֶּה נִפְרְד֧וּ הַגֹּויִ֛ם בָּאָ֖רֶץ אַחַ֥ר הַמַּבּֽוּל׃ פ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=10&verse=32&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
654786,Gen 13:3,תְּחִלָּה,בַּתְּחִלָּ֔ה ,וַיֵּ֨לֶךְ֙ לְמַסָּעָ֔יו מִנֶּ֖גֶב וְעַד־בֵּֽית־אֵ֑ל עַד־הַמָּקֹ֗ום אֲשֶׁר־הָ֨יָה שָׁ֤ם אָֽהֳלֹו֙ בַּתְּחִלָּ֔ה בֵּ֥ין בֵּֽית־אֵ֖ל וּבֵ֥ין הָעָֽי׃ אֶל־מְקֹום֙ הַמִּזְבֵּ֔חַ אֲשֶׁר־עָ֥שָׂה שָׁ֖ם בָּרִאשֹׁנָ֑ה ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=13&verse=3&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
654792,Gen 13:4,רִאשֹׁון,בָּרִאשֹׁנָ֑ה ,וַיֵּ֨לֶךְ֙ לְמַסָּעָ֔יו מִנֶּ֖גֶב וְעַד־בֵּֽית־אֵ֑ל עַד־הַמָּקֹ֗ום אֲשֶׁר־הָ֨יָה שָׁ֤ם אָֽהֳלֹו֙ בַּתְּחִלָּ֔ה בֵּ֥ין בֵּֽית־אֵ֖ל וּבֵ֥ין הָעָֽי׃ אֶל־מְקֹום֙ הַמִּזְבֵּ֔חַ אֲשֶׁר־עָ֥שָׂה שָׁ֖ם בָּרִאשֹׁנָ֑ה ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=13&verse=4&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
656057,Gen 18:14,מֹועֵד,לַמֹּועֵ֞ד ,לַמֹּועֵ֞ד אָשׁ֥וּב אֵלֶ֛יךָ כָּעֵ֥ת חַיָּ֖ה ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=18&verse=14&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
656330,Gen 19:1,עֶרֶב,בָּעֶ֔רֶב ,וַ֠יָּבֹאוּ שְׁנֵ֨י הַמַּלְאָכִ֤ים סְדֹ֨מָה֙ בָּעֶ֔רֶב ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=19&verse=1&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
656775,Gen 19:33,לַיְלָה,בַּלַּ֣יְלָה ה֑וּא ,וַתַּשְׁקֶ֧יןָ אֶת־אֲבִיהֶ֛ן יַ֖יִן בַּלַּ֣יְלָה ה֑וּא ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=19&verse=33&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
656841,Gen 19:37,יֹום,עַד־הַיֹּֽום׃ ,ה֥וּא אֲבִֽי־מֹואָ֖ב עַד־הַיֹּֽום׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=19&verse=37&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
656852,Gen 19:38,יֹום,עַד־הַיֹּֽום׃ ס ,ה֛וּא אֲבִ֥י בְנֵֽי־עַמֹּ֖ון עַד־הַיֹּֽום׃ ס ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=19&verse=38&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
656967,Gen 20:8,בֹּקֶר,בַּבֹּ֗קֶר ,וַיַּשְׁכֵּ֨ם אֲבִימֶ֜לֶךְ בַּבֹּ֗קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=20&verse=8&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
657252,Gen 21:14,בֹּקֶר,בַּבֹּ֡קֶר ,וַיַּשְׁכֵּ֣ם אַבְרָהָ֣ם׀ בַּבֹּ֡קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=21&verse=14&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
657431,Gen 21:26,יֹום,בִּלְתִּ֥י הַיֹּֽום׃ ,וְגַ֧ם אָנֹכִ֛י לֹ֥א שָׁמַ֖עְתִּי בִּלְתִּ֥י הַיֹּֽום׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=21&verse=26&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
657537,Gen 22:3,בֹּקֶר,בַּבֹּ֗קֶר ,וַיַּשְׁכֵּ֨ם אַבְרָהָ֜ם בַּבֹּ֗קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=22&verse=3&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
658731,Gen 24:54,בֹּקֶר,בַבֹּ֔קֶר ,וַיָּק֣וּמוּ בַבֹּ֔קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=24&verse=54&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
659171,Gen 25:31,יֹום,כַיֹּ֛ום ,מִכְרָ֥ה כַיֹּ֛ום אֶת־בְּכֹֽרָתְךָ֖ לִֽי׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=25&verse=31&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
