node,ref,head_voc,text,sentence,link
659190,Gen 25:33,יֹום,כַּיֹּ֔ום ,הִשָּׁ֤בְעָה לִּי֙ כַּיֹּ֔ום ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=25&verse=33&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
659610,Gen 26:31,בֹּקֶר,בַבֹּ֔קֶר ,וַיַּשְׁכִּ֣ימוּ בַבֹּ֔קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=26&verse=31&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
660516,Gen 28:18,בֹּקֶר,בַּבֹּ֗קֶר ,וַיַּשְׁכֵּ֨ם יַעֲקֹ֜ב בַּבֹּ֗קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=28&verse=18&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
660539,Gen 28:19,רִאשֹׁון,לָרִאשֹׁנָֽה׃ ,וְאוּלָ֛ם ל֥וּז שֵׁם־הָעִ֖יר לָרִאשֹׁנָֽה׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=28&verse=19&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
660858,Gen 29:23,עֶרֶב,בָעֶ֔רֶב ,וַיְהִ֣י בָעֶ֔רֶב ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=29&verse=23&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
660878,Gen 29:25,בֹּקֶר,בַבֹּ֔קֶר ,וַיְהִ֣י בַבֹּ֔קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=29&verse=25&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
661231,Gen 30:16,עֶרֶב,בָּעֶרֶב֒ ,וַיָּבֹ֨א יַעֲקֹ֣ב מִן־הַשָּׂדֶה֮ בָּעֶרֶב֒ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=30&verse=16&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
661247,Gen 30:16,לַיְלָה,בַּלַּ֥יְלָה ,וַיִּשְׁכַּ֥ב עִמָּ֖הּ בַּלַּ֥יְלָה הֽוּא׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=30&verse=16&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
662076,Gen 31:40,יֹום,בַיֹּ֛ום ,בַיֹּ֛ום אֲכָלַ֥נִי חֹ֖רֶב וְקֶ֣רַח בַּלָּ֑יְלָה ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=31&verse=40&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
662081,Gen 31:40,לַיְלָה,בַּלָּ֑יְלָה ,בַיֹּ֛ום אֲכָלַ֥נִי חֹ֖רֶב וְקֶ֣רַח בַּלָּ֑יְלָה ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=31&verse=40&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
662279,Gen 32:1,בֹּקֶר,בַּבֹּ֗קֶר ,וַיַּשְׁכֵּ֨ם לָבָ֜ן בַּבֹּ֗קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=32&verse=1&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
662534,Gen 32:23,לַיְלָה,בַּלַּ֣יְלָה ,וַיָּ֣קָם׀ בַּלַּ֣יְלָה ה֗וּא ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=32&verse=23&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
663544,Gen 35:20,יֹום,עַד־הַיֹּֽום׃ ,הִ֛וא מַצֶּ֥בֶת קְבֻֽרַת־רָחֵ֖ל עַד־הַיֹּֽום׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=35&verse=20&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
665195,Gen 40:6,בֹּקֶר,בַּבֹּ֑קֶר ,וַיָּבֹ֧א אֲלֵיהֶ֛ם יֹוסֵ֖ף בַּבֹּ֑קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=40&verse=6&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
665468,Gen 41:8,בֹּקֶר,בַבֹּ֨קֶר֙ ,וַיְהִ֤י בַבֹּ֨קֶר֙ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=41&verse=8&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
666783,Gen 43:16,צָהֳרַיִם,בַּֽצָּהֳרָֽיִם׃ ,כִּ֥י אִתִּ֛י יֹאכְל֥וּ הָאֲנָשִׁ֖ים בַּֽצָּהֳרָֽיִם׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=43&verse=16&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
666905,Gen 43:25,צָהֳרַיִם,בַּֽצָּהֳרָ֑יִם ,וַיָּכִ֨ינוּ֙ אֶת־הַמִּנְחָ֔ה עַד־בֹּ֥וא יֹוסֵ֖ף בַּֽצָּהֳרָ֑יִם ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=43&verse=25&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
668462,Gen 47:24,תְּבוּאָה,בַּתְּבוּאֹ֔ת ,וְהָיָה֙ בַּתְּבוּאֹ֔ת ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=47&verse=24&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
668907,Gen 49:1,יֹום,בְּאַחֲרִ֥ית הַיָּמִֽים׃ ,וְאַגִּ֣ידָה לָכֶ֔ם אֵ֛ת אֲשֶׁר־יִקְרָ֥א אֶתְכֶ֖ם בְּאַחֲרִ֥ית הַיָּמִֽים׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=49&verse=1&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
669125,Gen 49:27,בֹּקֶר,בַּבֹּ֖קֶר ,בַּבֹּ֖קֶר יֹ֣אכַל עַ֑ד ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=49&verse=27&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
669129,Gen 49:27,עֶרֶב,לָעֶ֖רֶב ,וְלָעֶ֖רֶב יְחַלֵּ֥ק שָׁלָֽל׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=49&verse=27&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
671576,Exod 7:15,בֹּקֶר,בַּבֹּ֗קֶר ,לֵ֣ךְ אֶל־פַּרְעֹ֞ה בַּבֹּ֗קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=7&verse=15&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
671979,Exod 8:16,בֹּקֶר,בַּבֹּ֨קֶר֙ ,הַשְׁכֵּ֤ם בַּבֹּ֨קֶר֙ ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=8&verse=16&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
673181,Exod 12:6,עֶרֶב,בֵּ֥ין הָעַרְבָּֽיִם׃ ,וְשָׁחֲט֣וּ אֹתֹ֗ו כֹּ֛ל קְהַ֥ל עֲדַֽת־יִשְׂרָאֵ֖ל בֵּ֥ין הָעַרְבָּֽיִם׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=12&verse=6&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
673339,Exod 12:18,חֹדֶשׁ,לַחֹ֨דֶשׁ֙ ,בָּרִאשֹׁ֡ן בְּאַרְבָּעָה֩ עָשָׂ֨ר יֹ֤ום לַחֹ֨דֶשׁ֙ בָּעֶ֔רֶב תֹּאכְל֖וּ מַצֹּ֑ת עַ֠ד יֹ֣ום הָאֶחָ֧ד וְעֶשְׂרִ֛ים לַחֹ֖דֶשׁ בָּעָֽרֶב׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=12&verse=18&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
673344,Exod 12:18,חֹדֶשׁ,לַחֹ֖דֶשׁ ,בָּרִאשֹׁ֡ן בְּאַרְבָּעָה֩ עָשָׂ֨ר יֹ֤ום לַחֹ֨דֶשׁ֙ בָּעֶ֔רֶב תֹּאכְל֖וּ מַצֹּ֑ת עַ֠ד יֹ֣ום הָאֶחָ֧ד וְעֶשְׂרִ֛ים לַחֹ֖דֶשׁ בָּעָֽרֶב׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=12&verse=18&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674777,Exod 16:8,עֶרֶב,בָּעֶ֜רֶב ,בְּתֵ֣ת יְהוָה֩ לָכֶ֨ם בָּעֶ֜רֶב בָּשָׂ֣ר לֶאֱכֹ֗ל וְלֶ֤חֶם בַּבֹּ֨קֶר֙ לִשְׂבֹּ֔עַ בִּשְׁמֹ֤עַ יְהוָה֙ אֶת־תְּלֻנֹּ֣תֵיכֶ֔ם אֲשֶׁר־אַתֶּ֥ם מַלִּינִ֖ם עָלָ֑יו ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=16&verse=8&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674782,Exod 16:8,בֹּקֶר,בַּבֹּ֨קֶר֙ ,בְּתֵ֣ת יְהוָה֩ לָכֶ֨ם בָּעֶ֜רֶב בָּשָׂ֣ר לֶאֱכֹ֗ל וְלֶ֤חֶם בַּבֹּ֨קֶר֙ לִשְׂבֹּ֔עַ בִּשְׁמֹ֤עַ יְהוָה֙ אֶת־תְּלֻנֹּ֣תֵיכֶ֔ם אֲשֶׁר־אַתֶּ֥ם מַלִּינִ֖ם עָלָ֑יו ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=16&verse=8&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674833,Exod 16:12,עֶרֶב,בֵּ֤ין הָֽעַרְבַּ֨יִם֙ ,בֵּ֤ין הָֽעַרְבַּ֨יִם֙ תֹּאכְל֣וּ בָשָׂ֔ר ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=16&verse=12&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674837,Exod 16:12,בֹּקֶר,בַבֹּ֖קֶר ,וּבַבֹּ֖קֶר תִּשְׂבְּעוּ־לָ֑חֶם ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=16&verse=12&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674847,Exod 16:13,עֶרֶב,בָעֶ֔רֶב ,וַיְהִ֣י בָעֶ֔רֶב ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=16&verse=13&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
674855,Exod 16:13,בֹּקֶר,בַבֹּ֗קֶר ,וּבַבֹּ֗קֶר הָֽיְתָה֙ שִׁכְבַ֣ת הַטַּ֔ל סָבִ֖יב לַֽמַּחֲנֶֽה׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=16&verse=13&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
675006,Exod 16:23,בֹּקֶר,עַד־הַבֹּֽקֶר׃ ,וְאֵת֙ כָּל־הָ֣עֹדֵ֔ף הַנִּ֧יחוּ לָכֶ֛ם לְמִשְׁמֶ֖רֶת עַד־הַבֹּֽקֶר׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=16&verse=23&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
675010,Exod 16:24,בֹּקֶר,עַד־הַבֹּ֔קֶר ,וַיַּנִּ֤יחוּ אֹתֹו֙ עַד־הַבֹּ֔קֶר כַּאֲשֶׁ֖ר צִוָּ֣ה מֹשֶׁ֑ה ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=16&verse=24&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
676319,Exod 21:2,שְׁבִיעִי,בַ֨שְּׁבִעִ֔ת ,וּבַ֨שְּׁבִעִ֔ת יֵצֵ֥א לַֽחָפְשִׁ֖י חִנָּֽם׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=21&verse=2&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
677180,Exod 23:14,שָׁנָה,בַּשָּׁנָֽה׃ ,שָׁלֹ֣שׁ רְגָלִ֔ים תָּחֹ֥ג לִ֖י בַּשָּׁנָֽה׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=23&verse=14&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
677434,Exod 24:4,בֹּקֶר,בַּבֹּ֔קֶר ,וַיַּשְׁכֵּ֣ם בַּבֹּ֔קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=24&verse=4&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
679163,Exod 29:34,בֹּקֶר,עַד־הַבֹּ֑קֶר ,וְֽאִם־יִוָּתֵ֞ר מִבְּשַׂ֧ר הַמִּלֻּאִ֛ים וּמִן־הַלֶּ֖חֶם עַד־הַבֹּ֑קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=29&verse=34&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
679187,Exod 29:36,יֹום,לַיֹּום֙ ,וּפַ֨ר חַטָּ֜את תַּעֲשֶׂ֤ה לַיֹּום֙ עַל־הַכִּפֻּרִ֔ים ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=29&verse=36&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
679219,Exod 29:38,יֹום,לַיֹּ֖ום ,וְזֶ֕ה אֲשֶׁ֥ר תַּעֲשֶׂ֖ה עַל־הַמִּזְבֵּ֑חַ כְּבָשִׂ֧ים בְּנֵֽי־שָׁנָ֛ה שְׁנַ֥יִם לַיֹּ֖ום תָּמִֽיד׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=29&verse=38&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
679223,Exod 29:39,בֹּקֶר,בַבֹּ֑קֶר ,אֶת־הַכֶּ֥בֶשׂ הָאֶחָ֖ד תַּעֲשֶׂ֣ה בַבֹּ֑קֶר וְעִשָּׂרֹ֨ן סֹ֜לֶת בָּל֨וּל בְּשֶׁ֤מֶן כָּתִית֙ רֶ֣בַע הַהִ֔ין וְנֵ֕סֶךְ רְבִעִ֥ית הַהִ֖ין יָ֑יִן לַכֶּ֖בֶשׂ הָאֶחָֽד׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=29&verse=39&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
679227,Exod 29:39,עֶרֶב,בֵּ֥ין הָעַרְבָּֽיִם׃ ,וְאֵת֙ הַכֶּ֣בֶשׂ הַשֵּׁנִ֔י תַּעֲשֶׂ֖ה בֵּ֥ין הָעַרְבָּֽיִם׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=29&verse=39&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
679236,Exod 29:41,עֶרֶב,בֵּ֣ין הָעַרְבָּ֑יִם ,וְאֵת֙ הַכֶּ֣בֶשׂ הַשֵּׁנִ֔י תַּעֲשֶׂ֖ה בֵּ֣ין הָעַרְבָּ֑יִם ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=29&verse=41&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
679361,Exod 30:8,עֶרֶב,בֵּ֥ין הָעֲרְבַּ֖יִם ,בְהַעֲלֹ֨ת אַהֲרֹ֧ן אֶת־הַנֵּרֹ֛ת בֵּ֥ין הָעֲרְבַּ֖יִם יַקְטִירֶ֑נָּה ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=30&verse=8&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
680643,Exod 34:2,בֹּקֶר,לַבֹּ֑קֶר ,וֶהְיֵ֥ה נָכֹ֖ון לַבֹּ֑קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=34&verse=2&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
680646,Exod 34:2,בֹּקֶר,בַבֹּ֨קֶר֙ ,וְעָלִ֤יתָ בַבֹּ֨קֶר֙ אֶל־הַ֣ר סִינַ֔י ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=34&verse=2&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
680674,Exod 34:4,בֹּקֶר,בַבֹּ֨קֶר֙ ,וַיַּשְׁכֵּ֨ם מֹשֶׁ֤ה בַבֹּ֨קֶר֙ ,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=34&verse=4&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
684085,Lev 6:2,בֹּקֶר,עַד־הַבֹּ֔קֶר ,עַל֩ מֹוקְדָ֨ה עַל־הַמִּזְבֵּ֤חַ כָּל־הַלַּ֨יְלָה֙ עַד־הַבֹּ֔קֶר ,https://shebanq.ancient-data.org/hebrew/text?book=Leviticus&chapter=6&verse=2&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
685752,Lev 11:24,עֶרֶב,עַד־הָעָֽרֶב׃ ,כָּל־הַנֹּגֵ֥עַ בְּנִבְלָתָ֖ם יִטְמָ֥א עַד־הָעָֽרֶב׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Leviticus&chapter=11&verse=24&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
685762,Lev 11:25,עֶרֶב,עַד־הָעָֽרֶב׃ ,וְטָמֵ֥א עַד־הָעָֽרֶב׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Leviticus&chapter=11&verse=25&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
685799,Lev 11:27,עֶרֶב,עַד־הָעָֽרֶב׃ ,כָּל־הַנֹּגֵ֥עַ בְּנִבְלָתָ֖ם יִטְמָ֥א עַד־הָעָֽרֶב׃ ,https://shebanq.ancient-data.org/hebrew/text?book=Leviticus&chapter=11&verse=27&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
685808,Lev 11:28,עֶרֶב,עַד־הָעָ֑רֶב ,וְטָמֵ֣א עַד־הָעָ֑רֶב ,https://shebanq.ancient-data.org/hebrew/text?book=Leviticus&chapter=11&verse=28&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
