node,ref,head_voc,text,category,sentence,link
670083,Exod 3:1,מִדְבָּר,אַחַ֣ר הַמִּדְבָּ֔ר,glob,וַיִּנְהַ֤ג אֶת־הַצֹּאן֙ אַחַ֣ר הַמִּדְבָּ֔ר,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=3&verse=1&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
670093,Exod 3:2,סְנֶה,מִתֹּ֣וךְ הַסְּנֶ֑ה,frame,וַ֠יֵּרָא מַלְאַ֨ךְ יְהֹוָ֥ה אֵלָ֛יו בְּלַבַּת־אֵ֖שׁ מִתֹּ֣וךְ הַסְּנֶ֑ה,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=3&verse=2&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
670127,Exod 3:4,סְנֶה,מִתֹּ֣וךְ הַסְּנֶ֗ה,frame,וַיִּקְרָא֩ אֵלָ֨יו אֱלֹהִ֜ים מִתֹּ֣וךְ הַסְּנֶ֗ה,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=3&verse=4&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
670535,Exod 4:9,יַבֶּשֶׁת,בַּיַּבָּֽשֶׁת׃,glob,וְהָי֥וּ לְדָ֖ם בַּיַּבָּֽשֶׁת׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=4&verse=9&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
670756,Exod 4:24,דֶּרֶךְ,בַדֶּ֖רֶךְ,frame,וַיְהִ֥י בַדֶּ֖רֶךְ בַּמָּלֹ֑ון,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=4&verse=24&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
670757,Exod 4:24,מָלֹון,בַּמָּלֹ֑ון,frame,וַיְהִ֥י בַדֶּ֖רֶךְ בַּמָּלֹ֑ון,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=4&verse=24&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
670862,Exod 5:1,מִדְבָּר,בַּמִּדְבָּֽר׃,glob,וְיָחֹ֥גּוּ לִ֖י בַּמִּדְבָּֽר׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=5&verse=1&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
670888,Exod 5:3,מִדְבָּר,בַּמִּדְבָּ֗ר,glob,נֵ֣לֲכָה נָּ֡א דֶּרֶךְ֩ שְׁלֹ֨שֶׁת יָמִ֜ים בַּמִּדְבָּ֗ר,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=5&verse=3&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
671602,Exod 7:16,מִדְבָּר,בַּמִּדְבָּ֑ר,glob,וְיַֽעַבְדֻ֖נִי בַּמִּדְבָּ֑ר,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=7&verse=16&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
671848,Exod 8:5,יְאֹר,רַ֥ק בַּיְאֹ֖ר,glob,רַ֥ק בַּיְאֹ֖ר תִּשָּׁאַֽרְנָה׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=8&verse=5&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
671865,Exod 8:7,יְאֹר,רַ֥ק בַּיְאֹ֖ר,glob,רַ֥ק בַּיְאֹ֖ר תִּשָּׁאַֽרְנָה׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=8&verse=7&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
672059,Exod 8:21,אֶרֶץ,בָּאָֽרֶץ׃,glob,זִבְח֥וּ לֵֽאלֹהֵיכֶ֖ם בָּאָֽרֶץ׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=8&verse=21&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
672080,Exod 8:23,מִדְבָּר,בַּמִּדְבָּ֑ר,glob,דֶּ֚רֶךְ שְׁלֹ֣שֶׁת יָמִ֔ים נֵלֵ֖ךְ בַּמִּדְבָּ֑ר,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=8&verse=23&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
672096,Exod 8:24,מִדְבָּר,בַּמִּדְבָּ֔ר,glob,וּזְבַחְתֶּ֞ם לַיהוָ֤ה אֱלֹֽהֵיכֶם֙ בַּמִּדְבָּ֔ר,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=8&verse=24&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
672204,Exod 9:5,אֶרֶץ,בָּאָֽרֶץ׃,glob,מָחָ֗ר יַעֲשֶׂ֧ה יְהוָ֛ה הַדָּבָ֥ר הַזֶּ֖ה בָּאָֽרֶץ׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=9&verse=5&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
672374,Exod 9:19,שָׂדֶה,בַּשָּׂדֶ֑ה,frame,הָעֵז֙ אֶֽת־מִקְנְךָ֔ וְאֵ֛ת כָּל־אֲשֶׁ֥ר לְךָ֖ בַּשָּׂדֶ֑ה,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=9&verse=19&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
672378,Exod 9:19,שָׂדֶה,בַשָּׂדֶ֗ה,frame,כָּל־הָאָדָ֨ם וְהַבְּהֵמָ֜ה אֲשֶֽׁר־יִמָּצֵ֣א בַשָּׂדֶ֗ה וְלֹ֤א יֵֽאָסֵף֙ הַבַּ֔יְתָה וְיָרַ֧ד עֲלֵהֶ֛ם הַבָּרָ֖ד,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=9&verse=19&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
